Age,DO,DO_min,DO_max
0,243.3382571,224.1071979,264.1655763
1,245.9971601,223.3967951,269.6906396
2,248.4227648,222.7857707,274.7205381
3,250.6344608,222.2764412,279.2901494
4,252.6516378,221.8711228,283.4343513
5,254.4936852,221.5721321,287.1880213
6,256.1799925,221.3817855,290.5860372
7,257.7299494,221.3023992,293.6632767
8,259.1629453,221.3362897,296.4546173
9,260.4983699,221.4857734,298.9949369
10,261.7556127,221.7531667,301.319113
11,262.9540632,222.140786,303.4620233
12,264.113111,222.6509477,305.4585455
13,265.2521457,223.2859681,307.3435573
14,266.3905567,224.0481637,309.1519364
15,267.5477336,224.9398509,310.9185604
16,269.5704168,226.5007444,313.902871
17,272.6251125,229.0187634,318.1406684
18,275.0435306,231.0487765,321.6597157
19,277.0256024,232.9098946,324.4621043
20,278.6291728,234.7288622,326.475601
21,279.271986,235.8774088,327.1720292
22,279.6052871,236.8411745,327.3684972
23,280.0537471,237.721571,327.9150471
24,280.5562392,238.4345443,328.753202
25,280.9666653,239.0243936,329.4444049
26,280.9791902,239.1355937,329.7151671
27,281.145387,239.5618246,329.7691802
28,281.5457125,239.9544326,330.329404
29,281.6123491,240.0338413,330.4602755
30,282.5765911,240.6990184,331.7673053
31,282.7116185,240.4398608,332.3490167
32,281.9143904,239.3956325,331.7425245
33,282.0293885,239.232683,331.8754189
34,282.4950122,239.0341172,332.8769376
35,282.2701792,238.1756982,333.1126442
36,281.0376408,236.439014,332.1355734
37,279.3078488,234.2252517,330.5958541
38,276.82124,231.2337834,328.3625141
39,273.5879126,227.5270974,325.3877637
40,271.0782345,224.055167,323.8326642
41,267.5737298,219.9293012,320.8735851
42,264.5240476,216.3020365,318.3255893
43,261.5438258,212.5312516,316.1864338
44,259.5668309,209.5241428,315.4095429
45,257.2010046,206.4955862,313.8776589
46,255.3690387,203.57306,313.5168878
47,252.7600627,200.0483115,312.1676903
48,249.6843748,196.2722458,310.0584141
49,247.2095642,193.1839339,308.4178976
50,245.0028517,190.4095722,306.984487
51,242.9916384,187.778503,305.8311283
52,241.4265059,185.5156324,305.2538075
53,241.3158666,184.5292788,306.3389433
54,241.2413235,183.8193016,307.1235743
55,241.8690667,183.963316,308.3634273
56,243.1256134,184.9548349,309.920255
57,244.9318152,186.7622146,311.6756222
58,247.4027784,189.1991957,314.1903144
59,250.0489266,191.9854513,316.6662783
60,253.70076,195.8966808,319.9440771
61,257.0453829,199.7719748,322.6007008
62,260.3362922,203.942216,324.7086225
63,264.2554102,208.6704401,327.529019
64,266.7194475,211.8748527,329.1922397
65,268.1598498,214.4348045,329.3153733
66,270.4834074,217.7776851,330.4142801
67,273.5772666,221.6712925,332.5684407
68,275.0952438,224.1427618,333.0318108
69,275.3137781,225.4810309,332.0077539
70,276.1252507,226.9231793,332.2996439
71,275.4910589,227.1352609,330.8976591
72,274.875189,227.3115357,329.5291708
73,274.1068754,227.0486365,328.4071784
74,272.665269,226.0418565,326.7191824
75,270.2637592,224.0390185,324.1490726
76,268.1483924,222.1857269,321.9650957
77,265.443665,219.6449819,319.392071
78,262.7633678,217.0732196,316.8950937
79,259.90514,214.2875502,314.2703043
80,256.365837,210.9540059,310.7872757
81,251.6558624,206.6360202,305.9095728
82,247.3887595,202.607549,301.6692425
83,243.4918467,199.0217247,297.6397974
84,239.0269106,195.0354475,292.8157942
85,235.6617381,191.9743364,289.2874939
86,232.6977846,189.2430758,286.2593595
87,230.2460529,186.9897406,283.7196091
88,228.3195888,185.194035,281.715581
89,226.6407844,183.5704727,279.9978923
90,225.5616037,182.4443956,278.9590862
91,225.1873435,182.0504415,278.4483458
92,224.3024293,181.021098,277.6307699
93,224.1353661,180.7403273,277.2491116
94,224.7312438,180.7442106,278.3560215
95,226.3083349,181.5419214,280.5970759
96,229.0347909,183.1525794,284.2997087
97,231.1510798,184.023013,287.5563484
98,232.7341485,184.0376464,290.9166832
99,235.2232919,184.4148433,296.0675005
100,238.7620497,185.2954121,303.1551231
101,241.8435558,185.8237576,309.7148104
102,244.3319963,186.0833742,315.2346023
103,246.7402796,186.0060842,321.2418803
104,248.3788289,185.8322705,325.3968079
105,249.6021717,185.0580402,329.7684451
106,250.2697662,184.0252325,333.3611586
107,250.6822609,183.0204705,336.3871718
108,250.6881595,181.907488,338.6785444
109,250.1912152,180.3854169,340.5271134
110,249.2346693,178.7059435,341.5220819
111,248.1204622,177.0845089,342.0453282
112,247.5949713,176.3874744,342.4426087
113,245.7146434,174.5151014,341.4700618
114,244.8442126,173.5541184,341.4805055
115,243.7543322,172.4341707,341.1957303
116,241.9394594,171.090694,339.4362638
117,240.0446622,169.9754147,337.0862877
118,238.1030702,169.0588392,334.1627515
119,235.6821298,167.8963223,330.2933401
120,232.7915834,166.4285818,325.5982729
121,229.8267133,164.9184375,320.5919416
122,226.6443024,163.0008402,315.5794684
123,223.8279039,161.3910964,310.5752211
124,221.5728839,159.6727566,306.8356917
125,218.8570201,157.4942918,302.4037007
126,215.8741813,154.7277952,297.3542013
127,212.5885123,151.1218311,292.7383059
128,209.2986068,147.0984947,288.4141263
129,205.7954232,142.7298072,283.7357789
130,202.1096602,138.0937836,278.7786009
131,198.2789433,133.1550308,274.0096299
132,194.3198202,128.0178692,269.3505345
133,190.1169244,122.5208036,264.8985544
134,185.9465388,117.1892014,260.4439679
135,182.2373107,111.8915771,257.6127969
136,179.0713673,107.5529329,254.8699315
137,176.5746915,103.982731,252.9178322
138,174.2012006,100.6812907,251.2301491
139,172.3410237,98.08583177,249.9733948
140,171.1380818,96.34819537,249.4242273
141,170.4297796,95.22056379,249.6160668
142,169.2335716,94.22685374,248.6052048
143,168.7020843,93.61411843,249.3186055
144,169.0863018,94.0125021,251.2736125
145,168.6663175,94.00427346,252.3834228
146,168.3687749,94.75128986,252.8564732
147,168.2337594,95.73583847,253.7431116
148,168.5280432,97.2680322,255.0299273
149,168.9570388,98.98489805,256.5508152
150,170.0162051,101.2384499,258.8125611
151,171.0895592,103.455575,261.1438326
152,172.2670744,105.6825708,263.5818241
153,173.3818837,107.9727975,265.1568127
154,174.0416559,109.6522296,266.3456384
155,173.1873014,110.0832912,265.3694371
156,172.433837,110.2071071,264.6127703
157,171.7058736,110.0555326,264.3939024
158,170.3538511,109.372842,263.2327068
159,169.1487862,108.7251552,261.908725
160,168.1281464,107.6810447,262.1013582
161,167.1525448,106.3873314,262.7594857
162,165.4862297,104.6228922,262.1365709
163,163.9277571,102.7230587,261.9341215
164,162.153559,100.6557845,261.2295501
165,160.4458986,98.63969881,260.3364925
166,158.4732658,96.5319266,258.6739665
167,156.3289326,94.27537404,256.5061803
168,153.9265315,91.85777007,253.653385
169,151.7031979,89.51265415,250.8137761
170,149.7102985,87.10612227,248.4520275
171,147.4082985,84.49841204,245.4143208
172,145.2117709,81.94267709,242.2063844
173,143.8633567,79.77073763,240.5664357
174,142.2817417,77.45259498,238.5540154
175,140.9535222,75.56467441,236.1334576
176,139.0931948,73.42823087,232.4557808
177,137.537973,71.38788347,229.2691312
178,136.7253519,69.99839523,226.5893598
179,135.9452779,68.70888428,223.7625134
180,135.2509036,67.5854927,220.8752063
181,134.386865,66.40154554,217.7542131
182,134.0067823,65.71726882,215.1305137
183,132.6526309,64.47760382,211.3336395
184,132.3994724,63.99698724,209.4355521
185,132.6963999,64.15675967,208.0759772
186,133.3443106,64.44937462,207.9498616
187,133.9120598,64.94845814,207.451668
188,135.8883278,66.50408102,209.1545784
189,139.7214202,69.8905811,212.5492176
190,144.1611204,73.4009681,218.2300415
191,148.7310962,77.48865796,223.2649915
192,153.4257532,82.13191974,227.9822308
193,158.8469965,87.36278995,234.0128446
194,164.2586112,92.8894388,239.7091415
195,170.1139532,98.63955297,246.6311167
196,176.0020061,104.5501963,253.8000294
197,182.2404651,110.8609696,261.4966565
198,188.7202563,117.4097038,269.6911305
199,195.6078703,124.2236419,278.663187
200,202.2394487,131.0047414,287.0910395
201,208.2786038,137.4741174,294.6354802
202,214.0271671,143.7658296,301.6249968
203,218.8548143,149.1833198,307.9076075
204,222.941633,153.8185326,313.6084974
205,226.4746075,157.7787162,318.8117674
206,229.5126291,161.2504607,323.328476
207,232.4996559,164.6136154,327.7390959
208,235.5540371,168.4398184,331.4505691
209,238.3769386,172.3385204,334.3991817
210,241.0354161,176.241201,336.7282909
211,243.4553989,179.976277,338.5069889
212,245.4097587,182.998066,340.2826304
213,246.7797151,185.2484668,341.7924618
214,248.8732449,187.7796091,344.2377319
215,250.1005855,189.471088,345.6889578
216,250.5396534,190.9131907,345.177355
217,251.6585283,192.7713313,345.3664649
218,253.2377653,194.8879252,345.9853165
219,253.8131715,196.3332494,344.8920664
220,253.1262608,196.0768507,343.6493542
221,252.8778314,196.1051829,342.969502
222,251.8088891,195.7502444,340.4317066
