min_ma,max_ma,r_number,name,country,formation,system,series,intervall,time_slice,reliabilit,subsurface,type,thickness,m_thick,width,m_width,extension,m_ext,ext_belt
93.9,125,1203,"Shepard Guyot, Mid Pacific Mountains",Pacific,,Cretaceous,Lower Cretaceous,Aptian-Cenomanian,24,2,1,,2,,,,4,,20
113,125,1215,"Shepard Guyot, Pacific",Pacific,,Cretaceous,Lower Cretaceous,Aptian,23,1,1,,2,,,,3,,30
113,129.4,1264,"Allison Guyot, Midpac, Pacific",Pacific,,Cretaceous,Lower Cretaceous,Barremian-Aptian,23,2,1,,3,400,,,4,,70
100.5,113,1265,"Allison Guyot II, Midpac, Pacific",Pacific,,Cretaceous,Lower Cretaceous,Albian,24,2,1,1,3,,,,4,,70
93.9,125,1201,"Cape Johnson Guyot, Mid-Pacific Mts.",Pacific,,Cretaceous,Lower Cretaceous,Aptian-Cenomanian,24,2,1,,2,,,,4,,20
2.6,5.3,2655,"Tongatabu, Tonga, Pacific",Tonga,,Neogene,Pliocene,Pliocene,32,2,0,1,2,,,,,,
33.9,38,2101,"Eua Channel, Tonga, Pacific",Tonga,,Paleogene,Eocene,Upper Eocene,29,2,1,,3,,,,,,
93.9,125,1200,"Hess Guyot, Mid-Pacific Mountains",Pacific,,Cretaceous,Lower Cretaceous,Aptian-Cenomanian,24,2,1,,2,,,,4,,20
423,433.4,2525,"Chegitun River, Chukotsk",Russia,,Silurian,,Wenlock-Ludlow,7,1,0,2,2,100,,,,,60
443.4,445.2,999,"Chukotsk Peninsula, Magadan",Russia,Chegitun,Ordovician,Upper Ordovician,Hirnantian,5,3,0,2,2,100,4,,4,,
93.9,113,1202,"Horizon Guyot, Mid-Pacific Mountains",Pacific,,Cretaceous,Lower Cretaceous,Albian-Cenomanian,24,2,1,1,2,,,,4,,50
23,28.1,2824,"Nauru Basin, DSDP Leg 61, West Pacific",Pacific,,Paleogene,Oligocene,Late Oligocene,30,2,1,1,,,,,,,
66,83.6,2825,"Line Islands, DSDP Leg 17, Site 165, Pacific",Pacific,,Cretaceous,Upper Cretaceous,Campanian-Maastrichtian,26,2,0,,,,,,,,
66,83.6,2826,"Line Islands, DSDP Leg 33, Site 315",Kiribati,,Cretaceous,Upper Cretaceous,Campanian-Maastrichtian,26,2,0,,,,,,,,
0,0.1,3970,"Kaena Point, Oahu, Hawaii",United States,Waimanalo,Quarternary,Pleistocene,upper Pleistocene,33,3,0,1,,,,,,,
0.1,0.8,3986,Atiu,Cook Islands,,Quarternary,Pleistocene,middle Pleistocene,33,3,0,1,,,,,,,
0,0.1,3969,"Kahuku Point, Oahu, Hawaii",United States,Waimanalo,Quarternary,Pleistocene,upper Pleistocene,33,3,0,1,,,,,,,
0,0.1,3255,"South Coast, Oahu, Hawaii",United States,Waimanalo,Quarternary,Pleistocene,upper Pleistocene,33,3,0,1,,,,,,,
2.6,3.6,3161,"Off Oahu, Hawaii",United States,,Neogene,Pliocene,upper Pliocene?,32,2,1,1,,,,,,,
0,0.1,3971,"Oahu, Mokapu and Hahaione, Hawaii",United States,Waimanalo,Quarternary,Pleistocene,upper Pleistocene,33,2,0,1,,,,,,,
0,0.1,3985,Mitiaro,Cook Islands,,Quarternary,Pleistocene,upper Pleistocene,33,3,0,1,,,,,,,
0,0.8,3987,Mauke,Cook Islands,,Quarternary,Pleistocene,middle/late Pleistocene,33,3,0,1,,,,,,,
66,83.6,2827,"Line Islands, DSDP Leg 33, Site 316",Kiribati,,Cretaceous,Upper Cretaceous,Campanian-Maastrichtian,26,2,0,,,,,,,,
410.8,427.4,4391,"Ruby Creek- Bornite deposit, Brooks Range",United States,unknown,Silurian,Pridoli,Ludlow-Gedinnian,,1,0,,4,,,,,,
407.6,423,1883,"Lime Hills, Holitna Basin, Sleetmute, Alaska",United States,,Silurian,,Pridoli-Pragian,8,1,0,3,3,500,,,4,,300
0,0.1,3973,"Offshore Lanai, Hawaii",United States,,Quarternary,Pleistocene,upper Pleistocene,33,3,0,4,1,,2,,2,,
407.6,423,1451,"N Holitna Basin, Sleetmute, Alaska",United States,,Silurian,,Pridolian/Pragian,8,2,0,3,3,,,,4,,95
407.6,419.2,3016,"N Holitna Basin, Sleetmute, Alaska",United States,,Devonian,Lower Devonian,Lochkovian/Pragian,8,2,0,3,3,,,,4,,95
0.1,0.8,3972,"Haleakala Ridge, offshore Maui, Hawaii",United States,,Quarternary,Pleistocene,middle Pleistocene,33,3,0,,,,,,,,
208.5,228,52,"Iliamna, Alaska",United States,,Triassic,Upper Triassic,Norian,18,2,0,2,2,,,,2,,
208.5,214,1370,"Puale Bay, Alaska",United States,,Triassic,Upper Triassic,upper Norian,18,3,0,4,1,45,,,3,,
407.6,423,1450,"White Mountain, McGrath, Alaska",United States,,Silurian,,Pridolian/Pragian,8,2,0,2,3,500,,,4,,95
2.6,5.3,2080,"Bora-Bora, Polynesia, Pacific",Pacific,,Neogene,Pliocene,Pliocene,32,3,0,1,3,,,,4,,
5.3,11.6,2652,"Rurutu, Polynesia",Pacific,,Neogene,Miocene,Upper Miocene,32,2,0,1,2,60,,,4,,
0,2.6,3984,"Faaa, Tahiti",French Polynesia,,Quarternary,Pleistocene,Pleistocene,33,2,1,1,,,,,,,
0,0.1,3951,"Papeete, cores P7, P8, Tahiti",French Polynesia,,Quarternary,Pleistocene,upper Pleistocene,33,3,1,1,2,30,2,,3,,
0,2.6,3983,"Maraa western transect, Tahiti",French Polynesia,,Quarternary,Pleistocene,Pleistocene,33,2,1,1,,,,,,,
0,2.6,3982,"Tiarei outer ridge, Tahiti",French Polynesia,,Quarternary,Pleistocene,Pleistocene,33,2,1,1,,,,,,,
16,23,791,"Mataiva, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,2,1,1,3,105,,,4,,20
16,23,792,"Mataiva II, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,1,1,1,2,,,,4,,20
2.6,11.6,793,"Mataiva III, Tuamotu Isl., Pacific",France,,Neogene,Miocene,Late Miocene/Pliocene,32,1,1,1,3,,,,4,,20
16,23,794,"Makatea, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,2,1,1,3,,,,4,,20
16,23,795,"Makatea II, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,1,1,1,3,,,,4,,20
2.6,11.6,796,"Makatea III, Tuamotu Isl., Pacific",France,,Neogene,Miocene,Late Miocene/Pliocene,32,1,1,1,3,,,,4,,20
16,23,797,"Rangiroa, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,2,1,1,3,,,,4,,20
16,23,798,"Rangiroa II, Tuamotu Isl., Pacific",France,,Neogene,Miocene,lower Miocene,31,1,1,1,2,,,,4,,20
2.6,11.6,799,"Rangiroa III, Tuamotu Isl., Pacific",France,,Neogene,Miocene,Late Miocene/Pliocene,32,1,1,1,3,,,,4,,20
33.9,38,2828,"Line Islands, DSDP Leg 33, Site 318, Pacific",Pacific,,Paleogene,Eocene,late Eocene,29,2,1,,,,,,,,
16,23,800,"Kaukura, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,2,1,1,3,,,,4,,20
11.6,16,801,"Kaukura II, Tuamotu Islands, Pacific",France,,Neogene,Miocene,Middle Miocene,31,1,1,1,2,,,,4,,20
2.6,11.6,802,"Kaukura III, Tuamotu Islands, Pacific",France,,Neogene,Miocene,Late Miocene/Pliocene,32,1,1,1,3,,,,4,,20
0,0.1,4198,"Niau, Tuamotu",French Polynesia,Unknown,Quarternary,Pleistocene,late Pleistocene,33,2,0,1,1,,2,,4,,
16,23,803,"Tikehau, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,2,1,1,3,,,,4,,20
16,23,804,"Tikehau II, Tuamotu Islands, Pacific",France,,Neogene,Miocene,lower Miocene,31,1,1,1,2,,,,4,,20
2.6,11.6,805,"Tikehau III, Tuamotu Islands, Pacific",France,,Neogene,Miocene,Late Miocene/Pliocene,32,1,1,1,3,,,,4,,20
208.5,228,551,"Wrangell Mountains, Alaska",United States,,Triassic,Upper Triassic,lower Norian,18,3,0,4,1,,,,2,,
393.3,407.6,1453,"Montauk Bluff, Alaska",United States,Ogilvie,Devonian,Lower Devonian,Emsian,9,2,0,1,2,,,,2,,5
393.3,407.6,1452,"Squaw Mountain, Ogilvie Mts, Alaska",United States,Ogilvie,Devonian,Lower Devonian,Emsian,9,2,0,1,2,40,,,2,,5
190.8,201.3,1385,"Johnson Creek, Yukon",Canada,Kingak,Jurassic,Lower Jurassic,Hettangian/Sinemurian,19,1,0,4,2,18,,,3,,
283.5,298.9,182,N-Yukon,Canada,,Permian,Cisuralian,Sakmarian/Artinskian,15,2,0,2,1,4,1,,2,21,
423,427.4,2929,"Drake Island, Glacier Bay National Park, Alaska",United States,Willoughby,Silurian,Ludlow,Ludlow,7,1,0,1,2,,,,3,150,
410.8,419.2,2974,"Bonnet Plume River, Yukon",Canada,Road River,Devonian,Lower Devonian,Lochkovian,8,2,0,,,,,,,,
208.5,228,10,"Lime Peak, Yukon",Canada,Aksala,Triassic,Upper Triassic,Norian,18,2,0,1,3,150,3,1000,4,3000,
393.3,407.6,3822,"Knorr Range, Yukon",Canada,Prongs Creek,Devonian,Lower Devonian,Emsian,9,2,0,2,2,25,1,10,2,90,
423,433.4,3707,"Heceta Island, Marble Cove, Alaska",United States,Heceta,Silurian,,Wenlock/Ludlow,7,1,0,3,1,10,2,,3,200,
423,433.4,1842,"Heceta Island, Alexander Terrane, Alaska",United States,Heceta,Silurian,,Wenlock/Ludlow,7,1,0,1,2,,,,3,,
423,433.4,1843,"Prince of Wales Island, Alaska",United States,Heceta,Silurian,,Wenlock/Ludlow,7,1,0,4,2,,,,3,,
387.7,393.3,3307,"Wadleigh Island, Prince of Wales Island, Alaska",United States,Wadleigh Limestone,Devonian,Middle Devonian,Eifelian,9,2,0,1,,,,,,,
382.7,387.7,3308,"Wadleigh Island, Prince of Wales Island, Alaska",United States,Wadleigh Limestone,Devonian,Middle Devonian,Givetian,10,2,0,1,,,,,,,
423,433.4,3708,"Prince of Wales Island, Alaska",United States,Heceta,Silurian,,Wenlock/Ludlow,7,1,0,4,1,1,1,5,1,6,
372.2,382.7,3309,"Corandos Island, Prince of Wales Island, Alaska",United States,Wadleigh Limestone,Devonian,Upper Devonian,Frasnian,10,2,0,1,,,,,,,
393.3,407.6,3272,"Kasaan Island, Alaska",United States,,Devonian,Lower Devonian,Middle Emsian,9,2,0,4,1,,,,2,,
509,514,1764,"Ketza River, Pelly Mts., Yukon",Canada,,Cambrian,Series 2,Botomian,1,2,0,2,2,90,,,4,610,5
509,514,1376,"E-Wernecke Mountains, Yukon",Canada,Sekwi,Cambrian,Series 2,Botomian,1,2,0,2,1,1,1,1,1,3,
208.5,228,50,"Gravina Island, Alaska",United States,Nehenta,Triassic,Upper Triassic,lower Norian,18,3,0,4,1,,,,2,,
445.2,453,1380,"Misty Creek, Arctic Red",Canada,Mount Kindle,Ordovician,Upper Ordovician,late Katian,5,2,0,3,2,30,,,3,200,
433.4,443.4,1381,Arctic Red II,Canada,,Silurian,,Llandovery,6,2,0,3,2,,,,3,,
542,999,1837,"Disneyland, Mackenzie Mts., N.W.T.",Canada,,Ediacaran,Ediacaran,Neoproterozoic,0,2,0,2,2,,,,3,,100
443.4,458.4,1896,"Gayna River, Mackenzie Mts.",Canada,Mount Kindle,Ordovician,Upper Ordovician,Upper Ordovician,5,2,0,4,2,65,,,,,
542,999,1836,"Tawuia, Stone Knife River, N.W.T.",Canada,Little Dal Group,Ediacaran,Ediacaran,Neoproterozoic,0,2,0,2,3,200,,,4,,100
382.7,387.7,1584,"Bell Creek, N.W.T.",Canada,,Devonian,Middle Devonian,Givetian,10,2,0,1,3,217,,,4,,42
509,514,3762,"Ekwi River, Mackenzie Mountains",Canada,Sekwi,Cambrian,Series 2,Botomian,1,3,0,2,1,4,1,,2,,
372.2,382.7,3868,"Fort Good Hope, N.W.T.",Canada,Ramparts,Devonian,Upper Devonian,lower Frasnian,10,2,0,1,,,,,,,
500.5,504,1377,"Mackenzie Mts., NW Territories",Canada,Rockslide,Cambrian,Series 3,Marjuman,2,2,0,2,2,25,,,3,120,
477.7,485.4,1393,"S Mackenzie Mts. II, N.W.T.",Canada,,Ordovician,Lower Ordovician,Tremadocian,3,2,0,3,3,300,,,4,,50
0.1,0.8,3906,Henderson Island,Pitcairn,,Quarternary,Pleistocene,middle Pleistocene,33,3,0,1,,,,,,,
477.7,485.4,1392,"S Mackenzie Mts., N.W.T.",Canada,Broken Skull,Ordovician,Lower Ordovician,Tremadocian,3,2,0,3,3,123,,,4,,50
208.5,228,51,North Vancouver,Canada,,Triassic,Upper Triassic,Norian,18,2,0,2,2,,,,2,,
372.2,382.7,3869,"Hoosier Ridge, N.W.T.",Canada,Kee Scarp,Devonian,Upper Devonian,Frasnian,10,2,0,,,,,,,,
382.7,387.7,1529,"Carnwath River, N.W.T.",Canada,,Devonian,Middle Devonian,Givetian,10,2,0,2,1,9,,,1,,
190.8,199.3,107,"Telkwa Range, British Columbia",United States,Nilkitkwa,Jurassic,Lower Jurassic,upper Sinemurian,19,3,0,1,2,48,,,2,45,
477.7,497,1895,"N Franklin Mts., N.W.T.",Canada,Franklin Mountain,Cambrian,Furongian,Croixian-Tremadocian,3,2,0,3,1,,,,1,,
372.2,387.7,2084,"Norman Wells, N.W.T.",Canada,Ramparts-Kee Scarp,Devonian,Middle Devonian,upper Givetian-Frasnian,10,3,1,1,3,160,4,8000,4,25000,
467.3,470,1897,"Ware, British Columbia",Canada,Skoki,Ordovician,Middle Ordovician,Dapingian,4,2,0,3,1,1,,,1,,
410.8,419.2,1522,"Clearwater Creek, Mackenzie, N.W.T.",Canada,,Devonian,Lower Devonian,Lochkovian,8,2,0,2,2,,,,2,,
509,514,3770,"Gataga River, Muskwa Ranges, British Columbia",Canada,,Cambrian,Series 2,Botomian,1,3,0,2,1,,1,,1,,
382.7,387.7,3873,"Landry Creek, Mackenzie Mountains",Canada,Horn Plateau,Devonian,Middle Devonian,Givetian,10,2,0,1,,,,,,,
387.7,393.3,1530,"South Nahanni River, District of Mackenzie",Canada,Nahanni,Devonian,Middle Devonian,middle-upper Eifelian,9,3,0,4,1,,,,3,,100
201.3,228,624,"Manson River, British Columbia",Canada,,Triassic,Upper Triassic,Norian/Rhaetian,18,2,0,4,,,,,,,
208.5,228,49,"South Vancouver, British Columbia",Canada,Sutton Limestone,Triassic,Upper Triassic,Norian,18,2,0,4,1,,,,2,,
387.7,393.3,1908,"Keg River Barrier Reef, Redfern",Canada,Keg River,Devonian,Middle Devonian,Eifelian,9,2,1,2,3,210,,,4,,900
382.7,387.7,1909,"Presqu-ile Barrier reef, Redfern Lake",Canada,,Devonian,Middle Devonian,lower Givetian,10,3,0,1,3,200,,,4,,900
423,427.4,2408,"Klamath Mts., Northern California",United States,,Silurian,Ludlow,Ludlovian,7,2,0,1,,,,,,,
372.2,382.7,1923,"Carlson Lake, N.W.T.",Canada,,Devonian,Upper Devonian,upper Frasnian,10,3,0,4,2,50,,,4,,55
228,235,1388,"Mount Laurier, British Columbia",Canada,Ludington,Triassic,Upper Triassic,Carnian,17,2,0,4,2,125,,,3,,
227,237,3887,Pardonet Hill Patch Reef,Canada,Baldonnel,Triassic,Upper Triassic,Tuvalian,17,3,0,2,1,11,2,,2,,
382.7,387.7,1906,"Evie Bank, British Columbia",Canada,,Devonian,Middle Devonian,Givetian,10,2,1,2,3,260,,,4,,35
445.2,453,1898,"Pine Pass, British Columbia",Canada,Beaverfoot,Ordovician,Upper Ordovician,early Katian,5,1,0,1,1,3,,,1,,
139.8,145,1387,"Taseko Lake, B.C.",Canada,,Cretaceous,Lower Cretaceous,Berriasian,22,2,0,4,1,10,,,2,,
433.4,443.4,3729,"Horseshoe Gulch, Klamath Mts., Northern California",United States,Gazelle,Silurian,,Llandovery,6,2,0,,,,,,,,
237,242,2712,"Peace Reach, Williston Lake, B.C.",Canada,Liard,Triassic,Middle Triassic,Ladinian,17,2,0,4,1,,,,2,,
372.2,382.7,1925,"Arrowhead, Jean Marie, N.W.T.",Canada,Kakisa,Devonian,Upper Devonian,upper Frasnian,10,3,0,1,3,100,,,4,,100
295,298.9,261,"Klamath Mountains, California",United States,,Permian,Cisuralian,Asselian,14,2,0,4,1,,,,3,,20
382.7,387.7,2452,"Upper Keg River, NE British Columbia",Canada,Keg River-Dunedin,Devonian,Middle Devonian,lower Givetian,10,3,0,1,3,,,,,,
228,230,47,"Lake Shasta, California",United States,Hosselkus Limestone,Triassic,Upper Triassic,upper Carnian,18,3,0,4,1,,,,2,,
139.8,145,1386,"Harrison Lake, B.C.",Canada,,Cretaceous,Lower Cretaceous,Berriasian,22,3,0,4,1,1,,,2,,
208.5,228,2989,"Eaglenest Mountain, British Columbia",Canada,,Triassic,Upper Triassic,middle Norian,18,3,0,,,,,,3,200,
372.2,382.7,1924,"Celibeta, Jean Marie, N.W.T.",Canada,Jean-Marie,Devonian,Upper Devonian,upper Frasnian,10,3,0,2,2,100,,,4,,100
