"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Actinostromatida"
"Access Time","Fri 2026-01-02 02:55:04 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Actinostromatida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.108"
"Records Found","500"
"Records Returned","500"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"45114","occ","","","3559","Actinostromella aff. vaiverensis","genus","3342","species not entered","Actinostromella","genus","3342","Pragian","","413.02","410.62","207"
"45116","occ","","","3559","Actinostroma aff. clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","","413.02","410.62","207"
"45740","occ","","","3635","Actinostroma tyrrelli","species","463845","","Actinostroma tyrrelli","species","463845","Givetian","","387.95","382.31","219"
"45751","occ","","","3636","Actinostroma cf. filitextum","genus","3341","species not entered","Actinostroma","genus","3341","Middle Givetian","","385.9","383.4","219"
"45753","occ","","","3636","Actinostroma expansum","species","463847","","Actinostroma expansum","species","370544","Middle Givetian","","385.9","383.4","219"
"45761","occ","","","3638","Actinostroma expansum","species","463847","","Actinostroma expansum","species","370544","Early Frasnian","","382.31","379","219"
"45767","occ","","","3638","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Early Frasnian","","382.31","379","219"
"67657","occ","","","4695","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Late Devonian","","382.31","358.86","274"
"79410","occ","","","5767","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","357"
"79411","occ","","","5767","Actinostroma squamosa","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","357"
"80514","occ","","","5776","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","357"
"80515","occ","","","5776","Actinostroma sotenicum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","357"
"80516","occ","","","5776","Actinostroma pseudosquamosum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","357"
"82306","occ","","","5908","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82307","occ","","","5908","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82317","occ","","","5909","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82318","occ","","","5909","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82325","occ","","","5910","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82326","occ","","","5910","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"82346","occ","","","5913","Actinostroma cf. stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Emsian","Eifelian","410.62","387.95","373"
"82353","occ","","","5914","Actinostroma cf. stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Emsian","Eifelian","410.62","387.95","373"
"82354","occ","","","5914","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Emsian","Eifelian","410.62","387.95","373"
"86075","occ","","","6263","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","397"
"86082","occ","","","6264","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","397"
"89832","occ","","","6706","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Ludfordian","","425","422.7","404"
"94841","occ","","","7117","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","443"
"96079","occ","","","7213","Actinostroma cf. bifarium","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"96080","occ","","","7213","Actinostroma intertextum","species","333474","recombined as","Plectostroma intertextum","species","333474","Pragian","Early Emsian","413.02","399.5","458"
"96081","occ","","","7213","Actinostroma jurmanense","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"96082","occ","","","7213","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"119716","occ","","","9318","Densastroma pexisum","species","380599","","Densastroma pexisum","species","380598","Lochkovian","","419.62","413.02","804"
"119717","occ","","","9318","Actinostromella vaiverensis","genus","3342","species not entered","Actinostromella","genus","3342","Lochkovian","","419.62","413.02","804"
"119718","occ","","","9318","Plectostroma micum","genus","3416","species not entered","Plectostroma","genus","3416","Lochkovian","","419.62","413.02","804"
"125030","occ","","","10124","Actinostroma salairicum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"125038","occ","","","10127","Actinostroma intertextum","species","333474","recombined as","Plectostroma intertextum","species","333474","Pragian","Early Emsian","413.02","399.5","458"
"125039","occ","","","10127","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"125078","occ","","","10129","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"125090","occ","","","10131","Actinostroma intertextum","species","333474","recombined as","Plectostroma intertextum","species","333474","Pragian","Early Emsian","413.02","399.5","458"
"125123","occ","","","10133","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
