"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Amphiporida"
"Access Time","Fri 2026-01-02 02:55:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Amphiporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0103"
"Records Found","461"
"Records Returned","461"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"10770","occ","","","619","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","Givetian","393.47","382.31","61512"
"10983","occ","","","628","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","60949"
"10995","occ","","","629","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","60949"
"11015","occ","","","630","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","60949"
"11372","occ","","","655","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","60949"
"11423","occ","","","661","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","Givetian","393.47","382.31","61512"
"42941","occ","","","3384","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"42958","occ","","","3385","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"42959","occ","","","3385","Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Early Famennian","","372.15","368.5","191"
"42971","occ","","","3386","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"42972","occ","","","3386","Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Early Famennian","","372.15","368.5","191"
"42974","occ","","","3387","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"42975","occ","","","3387","Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Early Famennian","","372.15","368.5","191"
"42988","occ","","","3388","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"42997","occ","","","3389","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"43003","occ","","","3390","Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Early Famennian","","372.15","368.5","191"
"43016","occ","","","3391","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Early Famennian","","372.15","368.5","191"
"43017","occ","","","3391","Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Early Famennian","","372.15","368.5","191"
"44034","occ","","","3475","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Early Emsian","","410.62","399.5","198"
"44153","occ","","","3486","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Early Emsian","","410.62","399.5","198"
"46806","occ","","","3752","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46823","occ","","","3753","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46835","occ","","","3754","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46836","occ","","","3754","? Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Frasnian","","382.31","372.15","191"
"46838","occ","","","3756","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46839","occ","","","3756","? Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Frasnian","","382.31","372.15","191"
"46852","occ","","","3758","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46861","occ","","","3759","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46879","occ","","","3760","? Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Frasnian","","382.31","372.15","191"
"46892","occ","","","3761","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","191"
"46893","occ","","","3761","? Paramphipora tschussovensis","genus","115695","species not entered","Paramphipora","genus","115695","Frasnian","","382.31","372.15","191"
"80512","occ","","","5775","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Early Givetian","","387.95","385.9","357"
"80513","occ","","","5776","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Early Givetian","","387.95","385.9","357"
"86077","occ","","","6264","Amphipora pervesiculata","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","397"
"89833","occ","","","6706","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Ludfordian","","425","422.7","404"
"92357","occ","","","6856","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","426"
"92371","occ","","","6857","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","426"
"92389","occ","","","6859","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","426"
"92399","occ","","","6860","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","426"
