"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Clathrodictyida"
"Access Time","Fri 2026-01-02 02:56:06 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Clathrodictyida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0264"
"Records Found","1110"
"Records Returned","1110"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"6059","occ","","","461","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Llandovery","","443.1","432.9","13433"
"6442","occ","","","473","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Wenlock","","432.9","426.7","61273"
"6444","occ","","","473","Anostylostroma sp.","genus","3347","","Anostylostroma","genus","3347","Wenlock","","432.9","426.7","61273"
"7367","occ","","","513","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Llandovery","","443.1","432.9","6608"
"9626","occ","","","446","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Llandovery","","443.1","432.9","61474"
"37827","occ","","","2686","Clathrodictyon <sp. 1>","genus","3359","","Clathrodictyon","genus","3359","Onnian","Eastonian","453","449","80"
"37828","occ","","","2686","Clathrodictyon <sp. 2>","genus","3359","","Clathrodictyon","genus","3359","Onnian","Eastonian","453","449","80"
"37831","occ","","","2686","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Onnian","Eastonian","453","449","80"
"37962","occ","","","2699","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Eastonian","","452.3","449","86"
"37971","occ","","","2699","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Eastonian","","452.3","449","86"
"38020","occ","","","2700","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Eastonian","","452.3","449","86"
"38023","occ","","","2700","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Eastonian","","452.3","449","86"
"38269","occ","","","2720","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Marshbrookian","Eastonian","455","449","88"
"38271","occ","","","2720","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Marshbrookian","Eastonian","455","449","88"
"38298","occ","","","2723","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Onnian","Eastonian","453","449","88"
"38299","occ","","","2723","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Onnian","Eastonian","453","449","88"
"38375","occ","","","2731","Clathrodictyon sp.","genus","3359","","Clathrodictyon","genus","3359","Eastonian","","452.3","449","92"
"38377","occ","","","2731","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Eastonian","","452.3","449","92"
"38388","occ","","","2732","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Eastonian","","452.3","449","92"
"38393","occ","","","2732","? Plexodictyon sp.","genus","3417","","Plexodictyon","genus","3417","Eastonian","","452.3","449","92"
"38403","occ","","","2745","Ecclimadictyon sp.","genus","3375","","Ecclimadictyon","genus","3375","Eastonian","","452.3","449","94"
