"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=labechiida"
"Access Time","Fri 2026-01-02 02:56:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","labechiida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0173"
"Records Found","623"
"Records Returned","623"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"3292","occ","","","325","Stromatocerium rugosum","species","328898","","Stromatocerium rugosum","species","328898","Blackriveran","","457.3","449.6","60987"
"3335","occ","","","326","Cryptophragmus sp.","genus","3365","","Cryptophragmus","genus","3365","Caradoc","","458.2","449.5","60897"
"3369","occ","","","327","Cryptophragmus sp.","genus","3365","","Cryptophragmus","genus","3365","Caradoc","","458.2","449.5","60897"
"3985","occ","","","350","Labechia sp.","genus","3395","","Labechia","genus","3395","Maysvillian","","450.2","449.6","60930"
"4407","occ","","","368","Labechia sp.","genus","3395","","Labechia","genus","3395","Richmondian","","449.6","445.5","61146"
"4408","occ","","","368","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","","449.6","445.5","61146"
"4469","occ","","","370","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","","449.6","445.5","61146"
"4754","occ","","","383","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Edenian","","451","450.2","316"
"4836","occ","","","384","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Edenian","","451","450.2","316"
"4920","occ","","","385","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Edenian","","451","450.2","316"
"5000","occ","","","386","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Edenian","","451","450.2","316"
"5127","occ","","","388","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Maysvillian","","450.2","449.6","316"
"5241","occ","","","389","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Maysvillian","Ashgill","450.2","443.1","316"
"5319","occ","","","390","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Maysvillian","Ashgill","450.2","443.1","316"
"5416","occ","","","391","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Maysvillian","","450.2","449.6","316"
"5475","occ","","","392","Beatricea sp.","genus","159451","species not entered","Aulacera","genus","3351","Richmondian","Ashgill","449.6","443.1","316"
"5476","occ","","","392","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","Ashgill","449.6","443.1","316"
"5477","occ","","","392","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Richmondian","Ashgill","449.6","443.1","316"
"5478","occ","","","392","Labechia sp.","genus","3395","","Labechia","genus","3395","Richmondian","Ashgill","449.6","443.1","316"
"5608","occ","","","393","Beatricea sp.","genus","159451","species not entered","Aulacera","genus","3351","Richmondian","Ashgill","449.6","443.1","316"
"5609","occ","","","393","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","Ashgill","449.6","443.1","316"
"5689","occ","","","394","Beatricea sp.","genus","159451","species not entered","Aulacera","genus","3351","Richmondian","Ashgill","449.6","443.1","316"
"5690","occ","","","394","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Richmondian","Ashgill","449.6","443.1","316"
"5691","occ","","","394","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","Ashgill","449.6","443.1","316"
"5813","occ","","","395","Beatricea sp.","genus","159451","species not entered","Aulacera","genus","3351","Richmondian","","449.6","445.5","316"
"5814","occ","","","395","Dermatostroma sp.","genus","3371","","Dermatostroma","genus","3371","Richmondian","","449.6","445.5","316"
"5815","occ","","","395","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Richmondian","","449.6","445.5","316"
"8920","occ","","","400","Labechia sp.","genus","3395","","Labechia","genus","3395","Richmondian","","449.6","445.5","60930"
"35969","occ","","","2646","Alleynodictyon sp.","genus","3344","","Alleynodictyon","genus","3344","Eastonian","","452.3","449","76"
"35971","occ","","","2647","Cystistroma sp.","genus","3366","","Cystistroma","genus","3366","Eastonian","","452.3","449","76"
"36260","occ","","","2679","Stromatocerium sp.","genus","3440","","Stromatocerium","genus","3440","Darriwilian","","469.4","458.2","80"
"37816","occ","","","2685","Thamnobeatricia sp.","genus","108050","species not entered","Thamnobeatricea","genus","108050","Gisbornian","Eastonian","458.2","449","80"
"37821","occ","","","2686","Aulacera sp.","genus","3351","","Aulacera","genus","3351","Onnian","Eastonian","453","449","80"
"38021","occ","","","2700","Cystostroma sp.","genus","3368","","Cystostroma","genus","3368","Eastonian","","452.3","449","86"
"38031","occ","","","2700","Labechia sp.","genus","3395","","Labechia","genus","3395","Eastonian","","452.3","449","86"
"38032","occ","","","2700","Labechiella sp.","genus","3396","","Labechiella","genus","3396","Eastonian","","452.3","449","86"
"38035","occ","","","2700","Pseudostylodictyon sp.","genus","3424","","Pseudostylodictyon","genus","3424","Eastonian","","452.3","449","86"
"38043","occ","","","2701","Cystistroma sp.","genus","3366","","Cystistroma","genus","3366","Eastonian","","452.3","449","86"
"38050","occ","","","2701","Labechiella sp.","genus","3396","","Labechiella","genus","3396","Eastonian","","452.3","449","86"
"38061","occ","","","2702","Alleynodictyon sp.","genus","3344","","Alleynodictyon","genus","3344","Eastonian","","452.3","449","86"
"38076","occ","","","2702","Labechiella sp.","genus","3396","","Labechiella","genus","3396","Eastonian","","452.3","449","86"
"38092","occ","","","2702","Stratodictyon sp.","genus","3439","","Stratodictyon","genus","3439","Eastonian","","452.3","449","86"
"38097","occ","","","2703","Cystostroma sp.","genus","3368","","Cystostroma","genus","3368","Gisbornian","Harnagian","458.2","457.2","86"
"38103","occ","","","2703","Labechiella sp.","genus","3396","","Labechiella","genus","3396","Gisbornian","Harnagian","458.2","457.2","86"
"38111","occ","","","2703","Stratodictyon sp.","genus","3439","","Stratodictyon","genus","3439","Gisbornian","Harnagian","458.2","457.2","86"
"38131","occ","","","2707","Cystistroma sp.","genus","3366","","Cystistroma","genus","3366","Eastonian","","452.3","449","87"
