"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=rugosa&interval=Ordovician,Devonian"
"Access Time","Fri 2026-01-02 01:59:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","rugosa"
"","interval","Ordovician,Devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.282"
"Records Found","9417"
"Records Returned","9417"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"3290","occ","","","325","Lambeophyllum profundum","species","351124","","Lambeophyllum profundum","species","351122","Blackriveran","","457.3","449.6","60987"
"3353","occ","","","326","Lambeophyllum sp.","genus","5575","","Lambeophyllum","genus","5575","Caradoc","","458.2","449.5","60897"
"3429","occ","","","330","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Trentonian","","457.3","449.6","21939"
"3514","occ","","","332","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Ordovician","","486.85","443.1","25788"
"3515","occ","","","332","Columnaria sp.","genus","5301","","Columnaria","genus","5301","Ordovician","","486.85","443.1","25788"
"3565","occ","","","333","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Middle Ordovician","","471.3","458.2","61112"
"3986","occ","","","350","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Maysvillian","","450.2","449.6","60930"
"4014","occ","","","351","Streptelasma rusticum","species","301068","recombined as","Helicelasma rusticum","species","301068","Maysvillian","Richmondian","450.2","445.5","60930"
"4047","occ","","","354","Streptelasma rusticum","species","301068","recombined as","Helicelasma rusticum","species","301068","Richmondian","","449.6","445.5","60930"
"4153","occ","","","360","Bighornia bottei","genus","5219","species not entered","Bighornia","genus","5219","Richmondian","","449.6","445.5","36817"
"4155","occ","","","360","Grewingkia sp.","genus","5466","","Grewingkia","genus","5466","Richmondian","","449.6","445.5","36817"
"4185","occ","","","362","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Hirnantian","","445.2","443.1","19960"
"4193","occ","","","363","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Hirnantian","","445.2","443.1","19960"
"4249","occ","","","365","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Rawtheyan","Hirnantian","448.8","443.1","19960"
"4304","occ","","","365","Helicelasma sp.","genus","5488","","Helicelasma","genus","5488","Rawtheyan","Hirnantian","448.8","443.1","19960"
"4575","occ","","","377","Grewingkia sp.","genus","5466","","Grewingkia","genus","5466","Richmondian","","449.6","445.5","61146"
"5481","occ","","","392","Columnaria sp.","genus","5301","","Columnaria","genus","5301","Richmondian","Ashgill","449.6","443.1","316"
"5482","occ","","","392","Favistella sp.","genus","110453","","Favistella","genus","110453","Richmondian","Ashgill","449.6","443.1","316"
"5485","occ","","","392","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Richmondian","Ashgill","449.6","443.1","316"
"5486","occ","","","392","Grewingkia sp.","genus","5466","","Grewingkia","genus","5466","Richmondian","Ashgill","449.6","443.1","316"
"5612","occ","","","393","Columnaria sp.","genus","5301","","Columnaria","genus","5301","Richmondian","Ashgill","449.6","443.1","316"
"5613","occ","","","393","Favistella sp.","genus","110453","","Favistella","genus","110453","Richmondian","Ashgill","449.6","443.1","316"
"5616","occ","","","393","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Richmondian","Ashgill","449.6","443.1","316"
"5694","occ","","","394","Favistella sp.","genus","110453","","Favistella","genus","110453","Richmondian","Ashgill","449.6","443.1","316"
"5697","occ","","","394","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Richmondian","Ashgill","449.6","443.1","316"
"5817","occ","","","395","Columnaria sp.","genus","5301","","Columnaria","genus","5301","Richmondian","","449.6","445.5","316"
"5818","occ","","","395","Favistella sp.","genus","110453","","Favistella","genus","110453","Richmondian","","449.6","445.5","316"
"5820","occ","","","395","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Richmondian","","449.6","445.5","316"
"5914","occ","","","453","Lindstroemia sp.","genus","5586","","Lindstroemia","genus","5586","Aeronian","","440.5","438.6","60951"
"5950","occ","","","455","Cystiphyllum sp.","genus","5349","","Cystiphyllum","genus","5349","Llandovery","","443.1","432.9","61476"
"5951","occ","","","455","Asthenophyllum sp.","genus","5183","","Asthenophyllum","genus","5183","Llandovery","","443.1","432.9","61476"
"5952","occ","","","455","Goniophyllum sp.","genus","5461","","Goniophyllum","genus","5461","Llandovery","","443.1","432.9","61476"
"5953","occ","","","455","Araeopoma sp.","genus","5170","","Araeopoma","genus","5170","Llandovery","","443.1","432.9","61476"
"5959","occ","","","456","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61477"
"5979","occ","","","457","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61477"
"6024","occ","","","459","Palaeocyclus sp.","genus","5714","","Palaeocyclus","genus","5714","Llandovery","","443.1","432.9","27610"
"6061","occ","","","461","Amplexus sp.","genus","5146","","Amplexus","genus","5146","Llandovery","","443.1","432.9","13433"
"6062","occ","","","461","Arachnophyllum sp.","genus","5169","","Arachnophyllum","genus","5169","Llandovery","","443.1","432.9","13433"
"6064","occ","","","461","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Llandovery","","443.1","432.9","13433"
"6070","occ","","","461","Ptychophyllum sp.","genus","5848","","Ptychophyllum","genus","5848","Llandovery","","443.1","432.9","13433"
"6073","occ","","","461","Zaphrentis sp.","genus","111319","species not entered","Zaphrenthis","genus","6080","Llandovery","","443.1","432.9","13433"
"6116","occ","","","462","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Llandovery","","443.1","432.9","13433"
"6161","occ","","","463","Palaeocyclus sp.","genus","5714","","Palaeocyclus","genus","5714","Llandovery","","443.1","432.9","27610"
"6172","occ","","","463","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Llandovery","","443.1","432.9","27610"
"6221","occ","","","464","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61202"
"6252","occ","","","465","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","60994"
"6272","occ","","","466","? Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Telychian","","438.6","432.9","17053"
"6373","occ","","","471","Cyathophyllum sp.","genus","5338","","Cyathophyllum","genus","5338","Wenlock","","432.9","426.7","61273"
"6446","occ","","","473","Cystiphyllum sp.","genus","5349","","Cystiphyllum","genus","5349","Wenlock","","432.9","426.7","61273"
"6447","occ","","","473","Diplophyllum sp.","genus","5385","","Diplophyllum","genus","5385","Wenlock","","432.9","426.7","61273"
"6448","occ","","","473","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Wenlock","","432.9","426.7","61273"
"6452","occ","","","473","Palaeophyllum sp.","genus","5717","","Palaeophyllum","genus","5717","Wenlock","","432.9","426.7","61273"
"6453","occ","","","473","Zaphrentis sp.","genus","111319","species not entered","Zaphrenthis","genus","6080","Wenlock","","432.9","426.7","61273"
"6537","occ","","","475","Diphyphyllum sp.","genus","5383","","Diphyphyllum","genus","5383","Niagaran","","439.4","422.7","61149"
"6580","occ","","","476","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Sheinwoodian","","432.9","430.6","17053"
