"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporellida"
"Access Time","Fri 2026-01-02 02:57:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporellida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0182"
"Records Found","732"
"Records Returned","732"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"42980","occ","","","3387","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Early Famennian","","372.15","368.5","191"
"45113","occ","","","3559","Trupetostroma sp.","genus","3454","","Trupetostroma","genus","3454","Pragian","","413.02","410.62","207"
"45732","occ","","","3637","Hermatostroma cf. haultainense","species","131810","","Hermatostroma haultainense","species","131810","Givetian","Late Devonian","387.95","358.86","219"
"45735","occ","","","3637","Trupetostroma papulosum","species","463853","","Trupetostroma papulosum","species","463853","Givetian","Late Devonian","387.95","358.86","219"
"45736","occ","","","3635","Clathrocoilona cf. obliterata","species","463852","","Clathrocoilona obliterata","species","424903","Givetian","","387.95","382.31","219"
"45738","occ","","","3635","Trupetostroma imbrex","species","463854","","Trupetostroma imbrex","species","463854","Givetian","","387.95","382.31","219"
"45742","occ","","","3635","Trupetostroma sp.","genus","3454","","Trupetostroma","genus","3454","Givetian","","387.95","382.31","219"
"45752","occ","","","3636","Clathrocoilona sp.","genus","3357","","Clathrocoilona","genus","3357","Middle Givetian","","385.9","383.4","219"
"45754","occ","","","3636","Hermatostroma cf. haultainense","species","131810","","Hermatostroma haultainense","species","131810","Middle Givetian","","385.9","383.4","219"
"45756","occ","","","3636","Dendrostroma sp.","genus","3369","","Dendrostroma","genus","3369","Middle Givetian","","385.9","383.4","219"
"45760","occ","","","3638","Clathrocoilona cf. obliterata","species","463852","","Clathrocoilona obliterata","species","424903","Early Frasnian","","382.31","379","219"
"45762","occ","","","3638","Hermatostroma cf. haultainense","species","131810","","Hermatostroma haultainense","species","131810","Early Frasnian","","382.31","379","219"
"45765","occ","","","3638","Trupetostroma papulosum","species","463853","","Trupetostroma papulosum","species","463853","Early Frasnian","","382.31","379","219"
"45766","occ","","","3638","Clathrocoilona sp.","genus","3357","","Clathrocoilona","genus","3357","Early Frasnian","","382.31","379","219"
"46844","occ","","","3756","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Frasnian","","382.31","372.15","191"
"47785","occ","","","3845","Stictostroma mccannelli","genus","3438","species not entered","Stictostroma","genus","3438","Eifelian","","393.47","387.95","257"
"47786","occ","","","3845","Stictostroma longitubiferum","genus","3438","species not entered","Stictostroma","genus","3438","Eifelian","","393.47","387.95","257"
"47962","occ","","","3853","Stictostroma mccannelli","genus","3438","species not entered","Stictostroma","genus","3438","Eifelian","","393.47","387.95","257"
"79412","occ","","","5767","Trupetostroma curiosa","genus","3454","species not entered","Trupetostroma","genus","3454","Early Givetian","","387.95","385.9","357"
"79413","occ","","","5767","Stromatoporella remesi","genus","3443","species not entered","Stromatoporella","genus","3443","Early Givetian","","387.95","385.9","357"
"79414","occ","","","5767","Stromatoporella kettneri","genus","3443","species not entered","Stromatoporella","genus","3443","Early Givetian","","387.95","385.9","357"
"82308","occ","","","5908","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Emsian","Eifelian","410.62","387.95","373"
"82319","occ","","","5909","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Emsian","Eifelian","410.62","387.95","373"
"82327","occ","","","5910","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Emsian","Eifelian","410.62","387.95","373"
"86072","occ","","","6262","Stictostroma ordinarium","genus","3438","species not entered","Stictostroma","genus","3438","Frasnian","","382.31","372.15","397"
"86079","occ","","","6264","Hermatostroma polymorphum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","397"
"86083","occ","","","6264","Clathrocoilona involuta n. sp.","genus","3357","species not entered","Clathrocoilona","genus","3357","Frasnian","","382.31","372.15","397"
"86086","occ","","","6265","Stictostroma ordinarium","genus","3438","species not entered","Stictostroma","genus","3438","Frasnian","","382.31","372.15","397"
"89999","occ","","","6719","Idiostroma sp.","genus","3391","","Idiostroma","genus","3391","Givetian","","387.95","382.31","411"
"90052","occ","","","6722","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Givetian","","387.95","382.31","411"
"94843","occ","","","7117","Trupetostroma sp.","genus","3454","","Trupetostroma","genus","3454","Frasnian","","382.31","372.15","443"
"94844","occ","","","7117","Hermatostroma ? sp.","genus","3388","","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","443"
"96084","occ","","","7213","Dendrostroma sp. n. sp.","genus","3369","","Dendrostroma","genus","3369","Pragian","Early Emsian","413.02","399.5","458"
"125037","occ","","","10127","Stromatoporella granulata","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","458"
"125077","occ","","","10129","Stromatoporella granulata","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","458"
"125081","occ","","","10129","Hermatostroma loomberensis","genus","3388","species not entered","Hermatostroma","genus","3388","Pragian","Early Emsian","413.02","399.5","458"
"125089","occ","","","10131","Stromatoporella granulata","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","458"
"125091","occ","","","10131","Trupetostroma sp. n. sp.","genus","3454","","Trupetostroma","genus","3454","Pragian","Early Emsian","413.02","399.5","458"
"125093","occ","","","10131","Dendrostroma sp. n. sp.","genus","3369","","Dendrostroma","genus","3369","Pragian","Early Emsian","413.02","399.5","458"
"149191","occ","","","13160","Clathrocoilona sp.","genus","3357","","Clathrocoilona","genus","3357","Givetian","","387.95","382.31","4245"
"153579","occ","","","13620","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Ludfordian","","425","422.7","6128"
"157629","occ","","","13965","Amnestostroma fedorovi","genus","3345","species not entered","Hermatostromella","genus","3389","Lochkovian","","419.62","413.02","6176"
"157647","occ","","","13966","Amnestostroma fedorovi","genus","3345","species not entered","Hermatostromella","genus","3389","Lochkovian","","419.62","413.02","6176"
"161579","occ","","","14256","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Early Emsian","","410.62","399.5","6304"
"207127","occ","","","23057","Diplostroma sp.","genus","3373","species not entered","Simplexodictyon","genus","3434","Homerian","","430.6","426.7","6632"
"231774","occ","","","23498","Simplexodictyon decorum","genus","3434","species not entered","Simplexodictyon","genus","3434","Sheinwoodian","","432.9","430.6","6713"
"235228","occ","","","23638","Simplexodictyon sp.","genus","3434","","Simplexodictyon","genus","3434","Ludlow","","426.7","422.7","6713"
"237401","occ","","","23697","Simplexodictyon kyssuniense","genus","3434","species not entered","Simplexodictyon","genus","3434","Wenlock","","432.9","426.7","6753"
"237402","occ","","","23697","Simplexodictyon perperum","genus","3434","species not entered","Simplexodictyon","genus","3434","Wenlock","","432.9","426.7","6753"
"237409","occ","","","23698","Simplexodictyon kyssuniense","genus","3434","species not entered","Simplexodictyon","genus","3434","Wenlock","","432.9","426.7","6753"
"237798","occ","","","23709","Simplexodictyon kyssuniensse","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludlow","","426.7","422.7","6753"
"237799","occ","","","23709","Simplexodictyon perperum","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludlow","","426.7","422.7","6753"
"237800","occ","","","23709","Simplexodictyon convictum","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludlow","","426.7","422.7","6753"
"237801","occ","","","23709","Simplexodictyon podolicum","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludlow","","426.7","422.7","6753"
"237907","occ","","","23723","Amnestostroma fedorovi","genus","3345","species not entered","Hermatostromella","genus","3389","Lochkovian","","419.62","413.02","6753"
"237929","occ","","","23725","Amnestostroma fedorovi","genus","3345","species not entered","Hermatostromella","genus","3389","Lochkovian","","419.62","413.02","6753"
"238631","occ","","","23772","Simplexodictyon sp.","genus","3434","","Simplexodictyon","genus","3434","Wenlock","","432.9","426.7","6753"
"247965","occ","","","24210","? Hermatostroma sp.","genus","3388","","Hermatostroma","genus","3388","Eifelian","","393.47","387.95","6844"
"256732","occ","","","24907","Trupetostroma sp.","genus","3454","","Trupetostroma","genus","3454","Lochkovian","","419.62","413.02","6984"
"261654","occ","","","25263","Hermatostroma schlueteri","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","7082"
"261655","occ","","","25263","Hermatostroma roemeri","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","7082"
"261656","occ","","","25263","Hermatostroma ambiguum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","7082"
"261657","occ","","","25263","Hermatostroma perseptatum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","7082"
"261662","occ","","","25263","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Frasnian","","382.31","372.15","7082"
"261667","occ","","","25263","Stromatoporella laminata","genus","3443","species not entered","Stromatoporella","genus","3443","Frasnian","","382.31","372.15","7082"
"261668","occ","","","25263","Trupetostroma bassleri","genus","3454","species not entered","Trupetostroma","genus","3454","Frasnian","","382.31","372.15","7082"
"261669","occ","","","25263","Trupetostroma mclearni","genus","3454","species not entered","Trupetostroma","genus","3454","Frasnian","","382.31","372.15","7082"
"262386","occ","","","25369","? Stictostroma laminatum","genus","3438","species not entered","Stictostroma","genus","3438","Early Givetian","","387.95","385.9","7100"
"262387","occ","","","25369","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Early Givetian","","387.95","385.9","7100"
"262388","occ","","","25369","Clathrocoilona (Synthetostroma) actinostromoides","species","424977","variant of","Synthetostroma actinostromoides","species","424977","Early Givetian","","387.95","385.9","7100"
"262389","occ","","","25369","Trupetostroma dushanense","species","424914","","Trupetostroma dushanense","species","424914","Early Givetian","","387.95","385.9","7100"
"262435","occ","","","25364","Stromatoporella granulata","genus","3443","species not entered","Stromatoporella","genus","3443","Eifelian","","393.47","387.95","7100"
"262436","occ","","","25364","Clathrocoilona obliterata","species","463852","","Clathrocoilona obliterata","species","424903","Eifelian","","393.47","387.95","7100"
"262437","occ","","","25364","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Eifelian","","393.47","387.95","7100"
"262438","occ","","","25364","Clathrocoilona curiosa","genus","3357","species not entered","Clathrocoilona","genus","3357","Eifelian","","393.47","387.95","7100"
"262488","occ","","","25365","Stromatoporella cf. solitaria","species","440594","","Stromatoporella solitaria","species","440594","Eifelian","","393.47","387.95","7100"
"262489","occ","","","25365","? Stictostroma sp.","genus","3438","","Stictostroma","genus","3438","Eifelian","","393.47","387.95","7100"
"262490","occ","","","25365","Clathrocoilona obliterata","species","463852","","Clathrocoilona obliterata","species","424903","Eifelian","","393.47","387.95","7100"
"262517","occ","","","25366","Clathrocoilona obliterata","species","463852","","Clathrocoilona obliterata","species","424903","Eifelian","","393.47","387.95","7100"
"262527","occ","","","25367","Dendrostroma fibrosum","genus","3369","species not entered","Dendrostroma","genus","3369","Eifelian","","393.47","387.95","7100"
"262528","occ","","","25367","Idiostroma cf. fililaminatum","genus","3391","species not entered","Idiostroma","genus","3391","Eifelian","","393.47","387.95","7100"
"262554","occ","","","25368","Dendrostroma fibrosum","genus","3369","species not entered","Dendrostroma","genus","3369","Eifelian","","393.47","387.95","7100"
"266736","occ","","","25642","Diplostroma yavorskyi","genus","3373","species not entered","Simplexodictyon","genus","3434","Gorstian","","426.7","425","7152"
"273826","occ","","","26201","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Helderbergian","Emsian","419.62","393.47","6304"
"273852","occ","","","26203","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Helderbergian","Emsian","419.62","393.47","6304"
"274283","occ","","","26245","? Stromatoporella volaica","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","7264"
"274284","occ","","","26245","? Stromatoporella cf. compta","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","7264"
"274357","occ","","","26249","? Stromatoporella intscherpense","genus","3443","species not entered","Stromatoporella","genus","3443","Early Emsian","","410.62","399.5","7264"
"274477","occ","","","26255","Stromatoporella cf. compta","genus","3443","species not entered","Stromatoporella","genus","3443","Pragian","Early Emsian","413.02","399.5","7265"
"274506","occ","","","26256","Stromatoporella intscherpense","genus","3443","species not entered","Stromatoporella","genus","3443","Early Emsian","","410.62","399.5","7265"
"276582","occ","","","26358","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Gamachian","","445.5","443.1","7270"
"290899","occ","","","27767","Idiostroma sp.","genus","3391","","Idiostroma","genus","3391","Wenlock","Ludlow","432.9","422.7","7624"
"363170","occ","","","34406","Simplexodictyon yavorskyi","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludfordian","","425","422.7","9056"
