"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporida"
"Access Time","Fri 2026-01-02 02:57:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0312"
"Records Found","560"
"Records Returned","560"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"5440","occ","","","391","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Maysvillian","","450.2","449.6","316"
"5874","occ","","","452","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Llandovery","","443.1","432.9","25391"
"6441","occ","","","473","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Wenlock","","432.9","426.7","61273"
"6443","occ","21114","","473","""Ferestromatopora"" sp.","genus","3379","","Ferestromatopora","genus","3379","Wenlock","","432.9","426.7","19630"
"6902","occ","","","491","Stromatopora constellata","genus","3442","species not entered","Stromatopora","genus","3442","Pridoli","","422.7","419.62","60939"
"42944","occ","","","3384","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Famennian","","372.15","368.5","191"
"42979","occ","","","3387","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Famennian","","372.15","368.5","191"
"42998","occ","","","3389","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Famennian","","372.15","368.5","191"
"45733","occ","","","3637","Arctostroma contexta","genus","3348","species not entered","Arctostroma","genus","3348","Givetian","Late Devonian","387.95","358.86","219"
"45734","occ","","","3637","Salairella bullulosa","species","463862","","Salairella bullulosa","species","133182","Givetian","Late Devonian","387.95","358.86","219"
"45739","occ","","","3635","Syringostromella sp.","genus","3450","","Syringostromella","genus","3450","Givetian","","387.95","382.31","219"
"45741","occ","","","3635","Taleastroma logansportense","species","463860","","Taleastroma logansportense","species","463859","Givetian","","387.95","382.31","219"
"45763","occ","","","3638","Arctostroma contexta","genus","3348","species not entered","Arctostroma","genus","3348","Early Frasnian","","382.31","379","219"
"45764","occ","","","3638","Salairella bullulosa","species","463862","","Salairella bullulosa","species","133182","Early Frasnian","","382.31","379","219"
"45768","occ","","","3638","Stromatopora cygnea","species","463855","","Stromatopora cygnea","species","463855","Early Frasnian","","382.31","379","219"
"46809","occ","","","3752","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","191"
"46843","occ","","","3756","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","191"
"46862","occ","","","3759","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","191"
"47787","occ","","","3845","Stromatopora proxilaminata","genus","3442","species not entered","Stromatopora","genus","3442","Eifelian","","393.47","387.95","257"
"47788","occ","","","3845","Stromatopora densilaminata","genus","3442","species not entered","Stromatopora","genus","3442","Eifelian","","393.47","387.95","257"
"47890","occ","","","3846","Stromatopora proxilaminata","genus","3442","species not entered","Stromatopora","genus","3442","Eifelian","","393.47","387.95","257"
"47891","occ","","","3846","Stromatopora densilaminata","genus","3442","species not entered","Stromatopora","genus","3442","Eifelian","","393.47","387.95","257"
"67869","occ","","","4815","Stromatopora liujingensis","genus","3442","species not entered","Stromatopora","genus","3442","Late Emsian","","399.5","393.47","274"
"74070","occ","","","5374","Stromatopora arachnoidea","genus","3442","species not entered","Stromatopora","genus","3442","Maysvillian","","450.2","449.6","317"
"79415","occ","","","5767","Stromatopora colliculata","genus","3442","species not entered","Stromatopora","genus","3442","Early Givetian","","387.95","385.9","357"
"80517","occ","","","5776","Stromatopora colliculata","genus","3442","species not entered","Stromatopora","genus","3442","Early Givetian","","387.95","385.9","357"
"82347","occ","","","5913","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Emsian","Eifelian","410.62","387.95","373"
"82355","occ","","","5914","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Emsian","Eifelian","410.62","387.95","373"
"89837","occ","","","6706","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Ludfordian","","425","422.7","404"
"89838","occ","","","6706","Stromatopora antiqua","genus","3442","species not entered","Stromatopora","genus","3442","Ludfordian","","425","422.7","404"
"90053","occ","","","6722","Ferestromatopora convergens n. sp.","genus","3379","species not entered","Ferestromatopora","genus","3379","Givetian","","387.95","382.31","411"
"94847","occ","","","7117","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","443"
"96085","occ","","","7213","Stromatopora buecheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"96086","occ","","","7213","Stromatopora foveolata","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"96087","occ","","","7213","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125031","occ","","","10124","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125041","occ","","","10127","Stromatopora dybowskii","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125042","occ","","","10127","Stromatopora foveolata","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125043","occ","","","10127","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125044","occ","","","10127","Stromatopora tenuilacunosa","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125079","occ","","","10129","Stromatopora bucheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125080","occ","","","10129","Stromatopora foveolata","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125094","occ","","","10131","Stromatopora foveolata","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125095","occ","","","10131","Stromatopora tenuilacunosa","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125116","occ","","","10132","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125145","occ","","","10136","Stromatopora bucheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125146","occ","","","10136","Stromatopora tenuilacunosa","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125222","occ","","","10146","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125242","occ","","","10147","Stromatopora secunda","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Early Emsian","413.02","399.5","458"
"125592","occ","","","10194","Stromatopora typica","genus","3442","species not entered","Stromatopora","genus","3442","Silurian","","443.1","419.62","458"
"147096","occ","","","13005","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Middle Frasnian","","379","375.2","4245"
"147132","occ","","","13008","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Middle Frasnian","","379","375.2","4245"
"147146","occ","","","13010","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Middle Frasnian","","379","375.2","4245"
"148856","occ","","","13135","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Middle Frasnian","","379","375.2","4245"
"149192","occ","","","13160","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Givetian","","387.95","382.31","4245"
"152397","occ","","","13591","Stromatopora discoidea","species","464356","","Stromatopora discoidea","species","464355","Sheinwoodian","","432.9","430.6","6128"
"152471","occ","","","13592","Stromatopora discoidea","species","464356","","Stromatopora discoidea","species","464355","Sheinwoodian","","432.9","430.6","6128"
"153440","occ","","","13617","Stromatopora discoidea","species","464356","","Stromatopora discoidea","species","464355","Gorstian","Ludfordian","426.7","422.7","6128"
"153631","occ","","","13622","Stromatopora discoidea","species","464356","","Stromatopora discoidea","species","464355","Ludfordian","","425","422.7","6128"
"207122","occ","","","23057","Stromatopora antiqua","genus","3442","species not entered","Stromatopora","genus","3442","Homerian","","430.6","426.7","6632"
"207123","occ","","","23057","Stromatopora carteri","genus","3442","species not entered","Stromatopora","genus","3442","Homerian","","430.6","426.7","6632"
"207125","occ","","","23057","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Homerian","","430.6","426.7","6632"
"210393","occ","","","23252","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Telychian","","438.6","432.9","6683"
"237869","occ","","","23719","Syringostromella subcylindrica","genus","3450","species not entered","Syringostromella","genus","3450","Pridoli","","422.7","419.62","6753"
"237870","occ","","","23719","Syringostromella brevis","genus","3450","species not entered","Syringostromella","genus","3450","Pridoli","","422.7","419.62","6753"
"240939","occ","","","8561","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Soudleyan","Marshbrookian","458.2","454","526"
"254831","occ","","","24739","? Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Lochkovian","","419.62","413.02","6753"
"258573","occ","","","25044","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Wenlock","","432.9","426.7","7006"
"261377","occ","","","25251","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Telychian","","438.6","432.9","7071"
"261642","occ","","","25262","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Middle Famennian","","368.5","365.2","7081"
"261665","occ","","","25263","Stromatopora cooperi","genus","3442","species not entered","Stromatopora","genus","3442","Frasnian","","382.31","372.15","7082"
"261666","occ","","","25263","Stromatopora minutitextum","genus","3442","species not entered","Stromatopora","genus","3442","Frasnian","","382.31","372.15","7082"
"262439","occ","","","25364","Stromatopora huepschii","species","424976","","Stromatopora huepschii","species","424975","Eifelian","","393.47","387.95","7100"
"269067","occ","","","25785","Stromatopora cf. hupschii","species","468316","misspelling of, recombined as","Stromatopora huepschii","species","424975","Emsian","","410.62","393.47","7185"
"279935","occ","","","26744","Stromatopora cf. constellata","genus","3442","species not entered","Stromatopora","genus","3442","Telychian","Wenlock","438.6","426.7","7270"
"281396","occ","","","26810","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Telychian","Sheinwoodian","438.6","430.6","4379"
"289690","occ","","","27610","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","7599"
"289699","occ","","","27611","Stromatopora indet.","genus","3442","","Stromatopora","genus","3442","Givetian","","387.95","382.31","7599"
"289751","occ","","","27614","Stromatopora indet.","genus","3442","","Stromatopora","genus","3442","Givetian","","387.95","382.31","7599"
"289760","occ","","","27616","Stromatopora indet.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","7599"
"290459","occ","","","27714","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Frasnian","","382.31","379","7599"
"290569","occ","","","27731","Syringostromella cf. borealis","genus","3450","species not entered","Syringostromella","genus","3450","Wenlock","Ludlow","432.9","422.7","7624"
"363180","occ","","","34407","Syringostromella carteri","genus","3450","species not entered","Syringostromella","genus","3450","Ludfordian","","425","422.7","9056"
"368490","occ","","","34871","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Givetian","","387.95","385.9","9349"
"369743","occ","","","34988","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Givetian","","387.95","382.31","9409"
"369773","occ","","","34990","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Givetian","","387.95","382.31","9409"
"382037","occ","","","36259","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Wenlock","","432.9","426.7","9720"
"385201","occ","","","27589","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Late Givetian","","383.4","382.31","9833"
"385202","occ","","","27589","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Late Givetian","","383.4","382.31","9833"
"385204","occ","","","27589","Stromatopora cooperi","genus","3442","species not entered","Stromatopora","genus","3442","Late Givetian","","383.4","382.31","9833"
"385210","occ","","","27589","Taleastroma sp.","genus","3451","","Taleastroma","genus","3451","Late Givetian","","383.4","382.31","9833"
"400129","occ","","","38400","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Givetian","","387.95","382.31","10303"
"403176","occ","","","38681","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","10391"
"403177","occ","","","38681","Salairella cf. buecheliensis","genus","3430","species not entered","Salairella","genus","3430","Givetian","","387.95","382.31","10391"
"403178","occ","","","38681","? Stromatopora cf. laminosa","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","10391"
"403185","occ","","","38681","Stromatopora huepschii","species","424976","","Stromatopora huepschii","species","424975","Givetian","","387.95","382.31","10391"
"403201","occ","","","38681","Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Givetian","","387.95","382.31","10391"
"403208","occ","","","38681","""Stromatopora"" colliculata","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","10391"
"403218","occ","","","38686","? Syringostromella cooperi","genus","3450","species not entered","Syringostromella","genus","3450","Frasnian","","382.31","372.15","10391"
"403221","occ","","","38688","? Syringostromella cooperi","genus","3450","species not entered","Syringostromella","genus","3450","Frasnian","","382.31","372.15","10391"
"403227","occ","","","38689","? Syringostromella cooperi","genus","3450","species not entered","Syringostromella","genus","3450","Frasnian","","382.31","372.15","10391"
"403233","occ","","","38689","Habrostroma percanaliculata","species","148949","recombined as","Ferestromatopora percanaliculata","species","148833","Frasnian","","382.31","372.15","10391"
"407186","occ","","","39167","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","10565"
"407189","occ","","","39167","Taleastroma sp.","genus","3451","","Taleastroma","genus","3451","Frasnian","","382.31","372.15","10565"
"407291","occ","","","39171","Stromaporidium lamellatum n. sp.","species","267735","","Stromaporidium lamellatum","species","267735","Norian","","227.3","205.7","10543"
"407907","occ","","","39237","Stromatopora cooperi","genus","3442","species not entered","Stromatopora","genus","3442","Frasnian","","382.31","372.15","10601"
"407913","occ","","","39239","Stromatopora lennardensis","genus","3442","species not entered","Stromatopora","genus","3442","Famennian","","372.15","358.86","10601"
"410406","occ","","","39633","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","10565"
"410666","occ","","","39663","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","10565"
"417830","occ","","","40524","Stromatopora cf. hupschii","species","468316","misspelling of, recombined as","Stromatopora huepschii","species","424975","Emsian","","410.62","393.47","10922"
"418871","occ","","","40666","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Late Devonian","","382.31","358.86","10955"
