"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Syringostromatida"
"Access Time","Fri 2026-01-02 02:57:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Syringostromatida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0219"
"Records Found","616"
"Records Returned","616"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"6459","occ","","","473","Parallelopora sp.","genus","3409","","Parallelopora","genus","3409","Wenlock","","432.9","426.7","61273"
"7366","occ","","","513","Syringostroma sp.","genus","3449","","Syringostroma","genus","3449","Llandovery","","443.1","432.9","6608"
"10996","occ","","","629","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Frasnian","","382.31","372.15","60949"
"11399","occ","","","657","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Frasnian","","382.31","372.15","60949"
"42943","occ","","","3384","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Early Famennian","","372.15","368.5","191"
"42945","occ","","","3384","Syringostroma vesiculosum","genus","3449","species not entered","Syringostroma","genus","3449","Early Famennian","","372.15","368.5","191"
"42978","occ","","","3387","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Early Famennian","","372.15","368.5","191"
"45115","occ","","","3559","Parallelostroma sp.","genus","3410","","Parallelostroma","genus","3410","Pragian","","413.02","410.62","207"
"45643","occ","","","3630","Atopostroma <sp. 1>","genus","3350","","Atopostroma","genus","3350","Lochkovian","","419.62","413.02","220"
"45645","occ","","","3630","Coenostroma sp.","genus","3362","","Coenostroma","genus","3362","Lochkovian","","419.62","413.02","220"
"45646","occ","","","3630","Habrostroma centrotum","species","208200","","Habrostroma centrotum","species","208200","Lochkovian","","419.62","413.02","220"
"45652","occ","","","3631","Habrostroma centrotum","species","208200","","Habrostroma centrotum","species","208200","Pragian","","413.02","410.62","220"
"45653","occ","","","3631","Habrostroma cf. centrotum","species","208200","","Habrostroma centrotum","species","208200","Pragian","","413.02","410.62","220"
"45654","occ","","","3631","Habrostroma microporum","genus","3385","species not entered","Habrostroma","genus","3385","Pragian","","413.02","410.62","220"
"45655","occ","","","3631","Coenostroma cf. monticuliferum","species","463865","","Coenostroma monticuliferum","species","463864","Pragian","","413.02","410.62","220"
"45656","occ","","","3631","Atopostroma <sp. 2>","genus","3350","","Atopostroma","genus","3350","Pragian","","413.02","410.62","220"
"45747","occ","","","3636","Stachyodes costulata","species","424980","","Stachyodes costulata","species","424980","Middle Givetian","","385.9","383.4","219"
"45748","occ","","","3636","Stachyodes thomasclarki","species","463868","","Stachyodes thomasclarki","species","463868","Middle Givetian","","385.9","383.4","219"
"45749","occ","","","3636","Parallelopora cf. paucicaniculata","genus","3409","species not entered","Parallelopora","genus","3409","Middle Givetian","","385.9","383.4","219"
"45750","occ","","","3636","Coenostroma cf. monticuliferum","species","463865","","Coenostroma monticuliferum","species","463864","Middle Givetian","","385.9","383.4","219"
"46808","occ","","","3752","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Frasnian","","382.31","372.15","191"
"46810","occ","","","3752","Syringostroma vesiculosum","genus","3449","species not entered","Syringostroma","genus","3449","Frasnian","","382.31","372.15","191"
"46842","occ","","","3756","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Frasnian","","382.31","372.15","191"
"47789","occ","","","3845","Syringostroma probicrenulatum","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47790","occ","","","3845","Syringostroma sherzeri","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47791","occ","","","3845","Syringostroma cylindricum","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47792","occ","","","3845","Syringostroma ambiguum","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47892","occ","","","3846","Syringostroma probicrenulatum","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47955","occ","","","3851","Syringostroma sherzeri","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"47956","occ","","","3852","Syringostroma cylindricum","genus","3449","species not entered","Syringostroma","genus","3449","Eifelian","","393.47","387.95","257"
"67870","occ","","","4815","Parallelostroma kwangsiense","genus","3410","species not entered","Parallelostroma","genus","3410","Late Emsian","","399.5","393.47","274"
"67871","occ","","","4815","Atopostroma tuntoulense","genus","3350","species not entered","Atopostroma","genus","3350","Late Emsian","","399.5","393.47","274"
"86073","occ","","","6262","? Syringostroma confertum","genus","3449","species not entered","Syringostroma","genus","3449","Frasnian","","382.31","372.15","397"
"86084","occ","","","6264","? Syringostroma confertum","genus","3449","species not entered","Syringostroma","genus","3449","Frasnian","","382.31","372.15","397"
"86085","occ","","","6264","Stachyodes costulata","species","424980","","Stachyodes costulata","species","424980","Frasnian","","382.31","372.15","397"
"86087","occ","","","6265","? Syringostroma confertum","genus","3449","species not entered","Syringostroma","genus","3449","Frasnian","","382.31","372.15","397"
"94845","occ","","","7117","Stachyodes sp.","genus","3436","","Stachyodes","genus","3436","Frasnian","","382.31","372.15","443"
"94848","occ","","","7117","Syringostroma sp.","genus","3449","","Syringostroma","genus","3449","Frasnian","","382.31","372.15","443"
