"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=tabulata&interval=Ordovician,Devonian"
"Access Time","Fri 2026-01-02 01:59:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","tabulata"
"","interval","Ordovician,Devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.341"
"Records Found","9104"
"Records Returned","9104"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"2324","occ","","","271","Lichenaria sp.","genus","4932","","Lichenaria","genus","4932","Gasconadian","","486.85","477.1","49669"
"2522","occ","","","285","Lichenaria sp.","genus","4932","","Lichenaria","genus","4932","Canadian","","486.85","457.3","15204"
"2879","occ","","","306","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","60917"
"2891","occ","","","307","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","60945"
"2923","occ","","","308","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","44678"
"2981","occ","","","311","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","60944"
"3291","occ","","","325","Foerstephyllum halli","genus","4883","species not entered","Foerstephyllum","genus","4883","Blackriveran","","457.3","449.6","60987"
"4157","occ","","","360","Nyctopora sp.","genus","4960","","Nyctopora","genus","4960","Richmondian","","449.6","445.5","36817"
"4158","occ","","","360","Saffordophyllum churchillensis","genus","5033","species not entered","Saffordophyllum","genus","5033","Richmondian","","449.6","445.5","36817"
"4160","occ","","","360","Calapoecia ungava","genus","4831","species not entered","Calapoecia","genus","4831","Richmondian","","449.6","445.5","36817"
"4229","occ","","","364","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Hirnantian","","445.2","443.1","19960"
"4316","occ","","","365","Halysitidae indet.","family","85472","","Halysitidae","family","85472","Rawtheyan","Hirnantian","448.8","443.1","19960"
"4318","occ","","","365","Favositidae indet.","family","86559","","Favositidae","family","86559","Rawtheyan","Hirnantian","448.8","443.1","19960"
"5480","occ","","","392","Calapoecia sp.","genus","4831","","Calapoecia","genus","4831","Richmondian","Ashgill","449.6","443.1","316"
"5483","occ","","","392","Lyopora sp.","genus","4934","","Lyopora","genus","4934","Richmondian","Ashgill","449.6","443.1","316"
"5611","occ","","","393","Calapoecia sp.","genus","4831","","Calapoecia","genus","4831","Richmondian","Ashgill","449.6","443.1","316"
"5614","occ","","","393","Lyopora sp.","genus","4934","","Lyopora","genus","4934","Richmondian","Ashgill","449.6","443.1","316"
"5693","occ","","","394","Calapoecia sp.","genus","4831","","Calapoecia","genus","4831","Richmondian","Ashgill","449.6","443.1","316"
"5695","occ","","","394","Lyopora sp.","genus","4934","","Lyopora","genus","4934","Richmondian","Ashgill","449.6","443.1","316"
"5816","occ","","","395","Calapoecia sp.","genus","4831","","Calapoecia","genus","4831","Richmondian","","449.6","445.5","316"
"5884","occ","","","452","Cannapora sp.","genus","4834","","Cannapora","genus","4834","Llandovery","","443.1","432.9","25391"
"5915","occ","","","453","Favosites sp.","genus","4880","","Favosites","genus","4880","Aeronian","","440.5","438.6","60951"
"5927","occ","","","454","Favosites sp.","genus","4880","","Favosites","genus","4880","Aeronian","","440.5","438.6","60951"
"5955","occ","","","455","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Llandovery","","443.1","432.9","61476"
"5957","occ","","","456","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","61477"
"5958","occ","","","456","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61477"
"5977","occ","","","457","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61477"
"5978","occ","","","457","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","61477"
"6035","occ","","","459","Cladopora sp.","genus","4840","","Cladopora","genus","4840","Llandovery","","443.1","432.9","27610"
"6060","occ","","","461","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Llandovery","","443.1","432.9","13433"
"6063","occ","","","461","Catenipora sp.","genus","4835","","Catenipora","genus","4835","Llandovery","","443.1","432.9","13433"
"6065","occ","","","461","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","13433"
"6066","occ","","","461","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","13433"
"6071","occ","","","461","Striatopora sp.","genus","5064","","Striatopora","genus","5064","Llandovery","","443.1","432.9","13433"
"6072","occ","","","461","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Llandovery","","443.1","432.9","13433"
"6117","occ","","","462","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","13433"
"6173","occ","","","463","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","27610"
"6253","occ","","","465","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Llandovery","","443.1","432.9","60994"
"6273","occ","","","466","Halysites sp.","genus","4897","","Halysites","genus","4897","Telychian","","438.6","432.9","17053"
"6303","occ","","","467","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","60972"
"6372","occ","","","471","Favosites sp.","genus","4880","","Favosites","genus","4880","Wenlock","","432.9","426.7","61273"
"6419","occ","","","472","Cladopora sp.","genus","4840","","Cladopora","genus","4840","Wenlock","","432.9","426.7","61273"
"6445","occ","","","473","Cladopora sp.","genus","4840","","Cladopora","genus","4840","Wenlock","","432.9","426.7","61273"
"6449","occ","","","473","Favosites sp.","genus","4880","","Favosites","genus","4880","Wenlock","","432.9","426.7","61273"
"6450","occ","","","473","Halysites sp.","genus","4897","","Halysites","genus","4897","Wenlock","","432.9","426.7","61273"
"6460","occ","","","473","Striatopora sp.","genus","5064","","Striatopora","genus","5064","Wenlock","","432.9","426.7","61273"
"6512","occ","","","474","Cladopora sp.","genus","4840","","Cladopora","genus","4840","Wenlock","","432.9","426.7","61273"
"6534","occ","","","475","Coenites sp.","genus","4843","","Coenites","genus","4843","Niagaran","","439.4","422.7","61149"
"6535","occ","","","475","Favosites sp.","genus","4880","","Favosites","genus","4880","Niagaran","","439.4","422.7","61149"
"6536","occ","","","475","Halysites sp.","genus","4897","","Halysites","genus","4897","Niagaran","","439.4","422.7","61149"
"6581","occ","","","476","Halysites sp.","genus","4897","","Halysites","genus","4897","Sheinwoodian","","432.9","430.6","17053"
"6714","occ","","","481","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Ludlow","","426.7","422.7","25317"
"6845","occ","","","487","Halysites sp.","genus","4897","","Halysites","genus","4897","Ludlow","","426.7","422.7","17055"
"6846","occ","","","487","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Ludlow","","426.7","422.7","17055"
"6958","occ","","","491","Aulocystis sp.","genus","4812","","Aulocystis","genus","4812","Pridoli","","422.7","419.62","60939"
"7029","occ","","","495","Pleurodictyum sp.","genus","4996","","Pleurodictyum","genus","4996","Ludlow","","426.7","422.7","60938"
"7030","occ","","","495","Favosites sp.","genus","4880","","Favosites","genus","4880","Ludlow","","426.7","422.7","60938"
"7097","occ","","","498","Favosites sp.","genus","4880","","Favosites","genus","4880","Pridoli","","422.7","419.62","60874"
"7102","occ","","","499","Favositidae indet.","family","86559","","Favositidae","family","86559","Wenlock","","432.9","426.7","17054"
"7103","occ","","","499","Syringoporoidea indet.","superfamily","465050","","Syringoporoidea","superfamily","122133","Wenlock","","432.9","426.7","17054"
"7125","occ","","","500","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Wenlock","","432.9","426.7","17054"
"7126","occ","","","500","Halysitidae indet.","family","85472","","Halysitidae","family","85472","Wenlock","","432.9","426.7","17054"
"7129","occ","","","500","Syringoporoidea indet.","superfamily","465050","","Syringoporoidea","superfamily","122133","Wenlock","","432.9","426.7","17054"
"7157","occ","","","501","Favositidae indet.","family","86559","","Favositidae","family","86559","Wenlock","","432.9","426.7","17054"
"7158","occ","","","501","Syringoporidae indet.","family","54332","","Syringoporidae","family","54332","Wenlock","","432.9","426.7","17054"
"7208","occ","","","503","Halysitidae indet.","family","85472","","Halysitidae","family","85472","Llandovery","","443.1","432.9","6160"
"7210","occ","","","503","Favositida indet.","order","81477","","Favositida","order","81477","Llandovery","","443.1","432.9","6160"
"7240","occ","","","504","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Aeronian","","440.5","438.6","6160"
"7260","occ","","","505","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Aeronian","","440.5","438.6","6160"
"7293","occ","","","507","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Aeronian","","440.5","438.6","6160"
"7297","occ","","","508","Paleofavosites sp.","genus","4980","","Paleofavosites","genus","4980","Llandovery","","443.1","432.9","6608"
"7323","occ","","","511","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Silurian","","443.1","419.62","61179"
"7354","occ","","","513","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","6608"
"7361","occ","","","513","Coenites sp.","genus","4843","","Coenites","genus","4843","Llandovery","","443.1","432.9","6608"
"7362","occ","","","513","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Llandovery","","443.1","432.9","6608"
"7365","occ","","","513","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Llandovery","","443.1","432.9","6608"
"7369","occ","","","514","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","60988"
"7370","occ","","","514","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","60988"
"7371","occ","","","514","Schedohalysites sp.","genus","119676","","Schedohalysites","genus","119676","Llandovery","","443.1","432.9","60988"
"7383","occ","","","517","Favosites sp.","genus","4880","","Favosites","genus","4880","Pridoli","","422.7","419.62","60924"
"7405","occ","","","518","Halysites labyrinthicus","genus","4897","species not entered","Halysites","genus","4897","Pridoli","","422.7","419.62","60939"
"7415","occ","","","520","Halysites sp.","genus","4897","","Halysites","genus","4897","Aeronian","","440.5","438.6","61274"
"7416","occ","","","520","Favosites sp.","genus","4880","","Favosites","genus","4880","Aeronian","","440.5","438.6","61274"
"7438","occ","","","521","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61202"
"7502","occ","","","525","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61477"
"7503","occ","","","525","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","61477"
"7504","occ","","","525","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Llandovery","","443.1","432.9","61477"
"7507","occ","","","526","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61477"
"7508","occ","","","526","Halysites sp.","genus","4897","","Halysites","genus","4897","Llandovery","","443.1","432.9","61477"
"7509","occ","","","526","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Llandovery","","443.1","432.9","61477"
"7840","occ","","","537","Favositidae indet.","family","86559","","Favositidae","family","86559","Llandovery","Wenlock","443.1","426.7","20335"
"7843","occ","","","538","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Llandovery","","443.1","432.9","61476"
"7844","occ","","","538","Paleofavosites sp.","genus","4980","","Paleofavosites","genus","4980","Llandovery","","443.1","432.9","61476"
"7848","occ","","","539","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61498"
"7954","occ","","","541","Coenites sp.","genus","4843","","Coenites","genus","4843","Wenlock","","432.9","426.7","13433"
"7956","occ","","","541","Aulopora sp.","genus","4814","","Aulopora","genus","4814","Wenlock","","432.9","426.7","13433"
"7958","occ","","","541","Favosites sp.","genus","4880","","Favosites","genus","4880","Wenlock","","432.9","426.7","13433"
"7960","occ","","","541","Striatopora sp.","genus","5064","","Striatopora","genus","5064","Wenlock","","432.9","426.7","13433"
"9100","occ","","","422","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","60945"
"9101","occ","","","422","Eofletcheria sp.","genus","4874","","Eofletcheria","genus","4874","Chazyan","","471.3","457.3","60945"
"9112","occ","","","423","Eofletcheria sp.","genus","4874","","Eofletcheria","genus","4874","Whiterockian","","471.3","457.3","61151"
"9337","occ","","","435","Billingsaria sp.","genus","4828","","Billingsaria","genus","4828","Chazyan","","471.3","457.3","60945"
"9338","occ","","","435","Eofletcheria sp.","genus","4874","","Eofletcheria","genus","4874","Chazyan","","471.3","457.3","60945"
"9440","occ","","","439","Sarcinula sp.","genus","5037","","Sarcinula","genus","5037","Hirnantian","","445.2","443.1","19960"
"9441","occ","","","439","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Hirnantian","","445.2","443.1","19960"
"9627","occ","","","446","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61474"
"9629","occ","","","446","Paleofavosites sp.","genus","4980","","Paleofavosites","genus","4980","Llandovery","","443.1","432.9","61474"
"9757","occ","","","450","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","61272"
"9801","occ","","","452","Favosites sp.","genus","4880","","Favosites","genus","4880","Llandovery","","443.1","432.9","25391"
"10245","occ","","","593","Favosites sp.","genus","4880","","Favosites","genus","4880","Lochkovian","","419.62","413.02","15806"
"10246","occ","","","593","Halysites sp.","genus","4897","","Halysites","genus","4897","Lochkovian","","419.62","413.02","15806"
"10292","occ","","","595","Striatopora sp.","genus","5064","","Striatopora","genus","5064","Pragian","","413.02","410.62","27289"
"10293","occ","","","595","Favosites sp.","genus","4880","","Favosites","genus","4880","Pragian","","413.02","410.62","27289"
"10302","occ","","","596","Favosites sp.","genus","4880","","Favosites","genus","4880","Helderbergian","","419.62","393.47","60990"
"10411","occ","","","600","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Pragian","","413.02","410.62","60918"
"10499","occ","","","603","Favosites sp.","genus","4880","","Favosites","genus","4880","Lochkovian","Zlichovian","419.62","393.47","25520"
"10500","occ","","","603","Dictyofavosites sp.","genus","4861","","Dictyofavosites","genus","4861","Lochkovian","Zlichovian","419.62","393.47","25520"
"10533","occ","","","604","Cladopora bifurcata","species","423483","","Cladopora bifurcata","species","423483","Emsian","","410.62","393.47","13440"
"10562","occ","","","605","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Emsian","","410.62","393.47","60970"
"10580","occ","","","608","Favosites sp.","genus","4880","","Favosites","genus","4880","Emsian","","410.62","393.47","13441"
"10684","occ","","","612","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Eifelian","","393.47","387.95","17056"
"10685","occ","","","612","Syringopora noranna n. sp.","genus","5075","species not entered","Syringopora","genus","5075","Eifelian","","393.47","387.95","17056"
"10759","occ","","","617","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Eifelian","","393.47","387.95","61110"
"10766","occ","","","618","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Eifelian","Givetian","393.47","382.31","61512"
"10775","occ","","","619","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Eifelian","Givetian","393.47","382.31","61512"
"10776","occ","","","619","Favosites sp.","genus","4880","","Favosites","genus","4880","Eifelian","Givetian","393.47","382.31","61512"
"10777","occ","","","619","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Eifelian","Givetian","393.47","382.31","61512"
"10778","occ","","","619","? Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Eifelian","Givetian","393.47","382.31","61512"
"10793","occ","","","620","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Eifelian","Givetian","393.47","382.31","61512"
"10837","occ","","","624","Alveolites vallorum","genus","4801","species not entered","Alveolites","genus","4801","Early Givetian","","387.95","385.9","34755"
"10861","occ","","","626","Favosites sp.","genus","4880","","Favosites","genus","4880","Givetian","","387.95","382.31","61512"
"10891","occ","","","627","Favosites sp.","genus","4880","","Favosites","genus","4880","Givetian","","387.95","382.31","841"
"10892","occ","","","627","Pleurodictyum sp.","genus","4996","","Pleurodictyum","genus","4996","Givetian","","387.95","382.31","841"
"10987","occ","","","629","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Frasnian","","382.31","372.15","60949"
"10994","occ","","","629","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Frasnian","","382.31","372.15","60949"
"11006","occ","","","630","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Frasnian","","382.31","372.15","60949"
"11010","occ","","","630","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Frasnian","","382.31","372.15","60949"
"11021","occ","","","631","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Frasnian","","382.31","372.15","60949"
"11024","occ","","","632","Favosites sp.","genus","4880","","Favosites","genus","4880","Frasnian","","382.31","372.15","61501"
"11037","occ","","","632","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Frasnian","","382.31","372.15","61501"
"11052","occ","","","633","Favosites sp.","genus","4880","","Favosites","genus","4880","Frasnian","","382.31","372.15","61513"
"11208","occ","","","647","Pleurodictyum sp.","genus","4996","","Pleurodictyum","genus","4996","Pragian","","413.02","410.62","60938"
"11246","occ","","","648","Aulopora sp.","genus","4814","","Aulopora","genus","4814","Early Emsian","","410.62","399.5","60971"
"11247","occ","","","648","Emmonsia sp.","genus","4870","","Emmonsia","genus","4870","Early Emsian","","410.62","399.5","60971"
"11248","occ","","","648","Favosites sp.","genus","4880","","Favosites","genus","4880","Early Emsian","","410.62","399.5","60971"
"11249","occ","","","648","Squameofavosites sp.","genus","5058","","Squameofavosites","genus","5058","Early Emsian","","410.62","399.5","60971"
"11261","occ","","","650","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Early Devonian","","419.62","393.47","60973"
"11282","occ","","","651","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Early Devonian","","419.62","393.47","60973"
"11383","occ","","","657","Alveolites sp.","genus","4801","","Alveolites","genus","4801","Frasnian","","382.31","372.15","60949"
"11388","occ","","","657","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Frasnian","","382.31","372.15","60949"
"11389","occ","","","657","Syringoporella sp.","genus","5076","","Syringoporella","genus","5076","Frasnian","","382.31","372.15","60949"
"11391","occ","","","657","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Frasnian","","382.31","372.15","60949"
"11412","occ","","","660","Favosites sp.","genus","4880","","Favosites","genus","4880","Eifelian","Givetian","393.47","382.31","61512"
"11414","occ","","","660","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Eifelian","Givetian","393.47","382.31","61512"
"11422","occ","","","661","Favosites sp.","genus","4880","","Favosites","genus","4880","Eifelian","Givetian","393.47","382.31","61512"
"11426","occ","","","661","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Eifelian","Givetian","393.47","382.31","61512"
"11437","occ","","","661","Syringopora sp.","genus","5075","","Syringopora","genus","5075","Eifelian","Givetian","393.47","382.31","61512"
"11485","occ","","","666","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Late Devonian","","382.31","358.86","61179"
"11510","occ","","","668","Thamnopora sp.","genus","5086","","Thamnopora","genus","5086","Frasnian","","382.31","372.15","18530"
"11512","occ","","","669","Favosites sp.","genus","4880","","Favosites","genus","4880","Givetian","","387.95","382.31","841"
"11513","occ","","","669","Pleurodictyum sp.","genus","4996","","Pleurodictyum","genus","4996","Givetian","","387.95","382.31","841"
"11559","occ","","","670","Favosites sp.","genus","4880","","Favosites","genus","4880","Givetian","","387.95","382.31","841"
"11560","occ","","","670","Pleurodictyum sp.","genus","4996","","Pleurodictyum","genus","4996","Givetian","","387.95","382.31","841"
"11561","occ","","","670","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Givetian","","387.95","382.31","841"
"11712","occ","","","688","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Wenlock","","432.9","426.7","18"
"11870","occ","","","717","Tabulata indet.","subclass","4792","","Tabulata","subclass","81676","Telychian","","438.6","432.9","23"
"11909","occ","","","730","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11910","occ","","","730","Cystihalysites amplitubulatus","genus","4854","species not entered","Cystihalysites","genus","4854","Silurian","","443.1","419.62","26"
"11911","occ","","","730","? Syringopora cf. vestita","genus","5075","species not entered","Syringopora","genus","5075","Silurian","","443.1","419.62","26"
"11912","occ","","","730","? Pseudofletcheria sp.","genus","122127","","Pseudofletcheria","genus","122127","Silurian","","443.1","419.62","26"
"11913","occ","","","731","Cystihalysites amplitubulatus","genus","4854","species not entered","Cystihalysites","genus","4854","Sheinwoodian","Ludfordian","432.9","422.7","26"
"11914","occ","","","731","? Syringopora cf. vestita","genus","5075","species not entered","Syringopora","genus","5075","Sheinwoodian","Ludfordian","432.9","422.7","26"
"11915","occ","","","732","Cystihalysites amplitubulatus","genus","4854","species not entered","Cystihalysites","genus","4854","Silurian","","443.1","419.62","26"
"11916","occ","","","732","Syringopora minuta","genus","5075","species not entered","Syringopora","genus","5075","Silurian","","443.1","419.62","26"
"11917","occ","","","732","? Syringopora cf. vestita","genus","5075","species not entered","Syringopora","genus","5075","Silurian","","443.1","419.62","26"
"11918","occ","","","733","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11919","occ","","","734","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11920","occ","","","734","? Syringopora cf. vestita","genus","5075","species not entered","Syringopora","genus","5075","Silurian","","443.1","419.62","26"
"11921","occ","","","735","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11922","occ","","","735","? Syringopora cf. vestita","genus","5075","species not entered","Syringopora","genus","5075","Silurian","","443.1","419.62","26"
"11923","occ","","","736","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11924","occ","","","737","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11925","occ","","","738","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
"11926","occ","","","739","Halysites nitidus","genus","4897","species not entered","Halysites","genus","4897","Silurian","","443.1","419.62","26"
