Age,SST,Range95%CI,SST_min,SST_max
0,18.22,0.2,18.02,18.42
1,15.38,0.11,15.27,15.49
2,16.19,0.1,16.09,16.29
3,17.16,0.09,17.07,17.25
4,17.47,0.08,17.39,17.55
5,17.13,0.09,17.04,17.22
6,15.19,0.26,14.93,15.45
7,15.67,0.55,15.12,16.22
8,16.11,0.89,15.22,17
9,16.99,0.66,16.33,17.65
10,18.94,0.82,18.12,19.76
11,17.78,0.58,17.2,18.36
12,16.57,0.84,15.73,17.41
13,15.25,0.2,15.05,15.45
14,16.74,0.81,15.93,17.55
15,17.09,0.96,16.13,18.05
16,17.64,1.13,16.51,18.77
17,16.83,1.12,15.71,17.95
18,15.43,0.93,14.5,16.36
20,16.64,0.82,15.82,17.46
22,19.03,0.93,18.1,19.96
23,18.61,0.98,17.63,19.59
24,18.49,1.42,17.07,19.91
26,14.09,0.92,13.17,15.01
27,15.24,2.01,13.23,17.25
28,14.47,2.17,12.3,16.64
29,15.22,0.76,14.46,15.98
30,15.67,2.56,13.11,18.23
32,21.8,1.15,20.65,22.95
33,21.25,0.39,20.86,21.64
34,21.79,0.43,21.36,22.22
35,22.17,1.14,21.03,23.31
37,16.21,1.65,14.56,17.86
39,16.8,0.86,15.94,17.66
41,17.82,0.69,17.13,18.51
42,18.07,1.73,16.34,19.8
43,18.43,1.38,17.05,19.81
44,15.74,0.71,15.03,16.45
45,21.54,1.11,20.43,22.65
46,19.8,0.27,19.53,20.07
47,17.41,0.69,16.72,18.1
48,21.81,2.65,19.16,24.46
49,23.75,1.45,22.3,25.2
50,22.98,1.43,21.55,24.41
51,20.88,1.74,19.14,22.62
52,22.07,2.33,19.74,24.4
53,22.38,2.17,20.21,24.55
54,20.43,1.88,18.55,22.31
55,26.45,0.89,25.56,27.34
56,20.06,1.04,19.02,21.1
57,18.33,1.03,17.3,19.36
58,18.34,1.32,17.02,19.66
59,20.06,1.51,18.55,21.57
60,17.15,0.55,16.6,17.7
61,17.49,1.14,16.35,18.63
62,15.81,0.89,14.92,16.7
63,15.62,0.99,14.63,16.61
66,18.81,0.99,17.82,19.8
67,17.09,0.5,16.59,17.59
68,17.92,0.49,17.43,18.41
69,15.82,0.45,15.37,16.27
70,15.96,0.36,15.6,16.32
71,15.89,0.26,15.63,16.15
72,16.25,0.42,15.83,16.67
73,17.3,0.68,16.62,17.98
74,16.95,0.43,16.52,17.38
75,16.45,0.35,16.1,16.8
76,20.26,0.77,19.49,21.03
77,19.08,1.09,17.99,20.17
78,19.47,1.3,18.17,20.77
79,18.06,0.95,17.11,19.01
80,16.7,0.93,15.77,17.63
82,27.63,2.16,25.47,29.79
84,22.07,2.8,19.27,24.87
86,29.91,0.57,29.34,30.48
87,28.72,1.58,27.14,30.3
88,29.79,0.56,29.23,30.35
89,29.71,0.69,29.02,30.4
90,30.45,0.61,29.84,31.06
91,31.97,0.45,31.52,32.42
92,31.93,0.17,31.76,32.1
93,31.75,0.13,31.62,31.88
94,31.66,0.24,31.42,31.9
95,30.03,0.65,29.38,30.68
96,24.98,0.62,24.36,25.6
97,28.37,0.51,27.86,28.88
98,27.86,0.94,26.92,28.8
99,24.77,1.09,23.68,25.86
100,25.44,1.02,24.42,26.46
101,24.66,0.21,24.45,24.87
102,24.1,0.22,23.88,24.32
103,24.01,0.54,23.47,24.55
104,23.54,0.81,22.73,24.35
105,22.89,0.62,22.27,23.51
106,22.08,1.65,20.43,23.73
107,20.9,1.12,19.78,22.02
108,19.91,3.21,16.7,23.12
109,20.6,2.62,17.98,23.22
112,19.45,4.3,15.15,23.75
116,22.86,1.92,20.94,24.78
117,24.28,2.44,21.84,26.72
118,24.33,1.06,23.27,25.39
119,22.68,3.25,19.43,25.93
120,21.66,0.62,21.04,22.28
121,20.22,0.54,19.68,20.76
122,21.49,1.21,20.28,22.7
123,21.42,1.51,19.91,22.93
124,20.87,0.11,20.76,20.98
125,20.74,0.2,20.54,20.94
126,20.84,0.55,20.29,21.39
127,20.5,3.06,17.44,23.56
128,17.87,0.9,16.97,18.77
129,25.24,2.23,23.01,27.47
130,23.4,1.16,22.24,24.56
131,21.25,1.6,19.65,22.85
132,21.3,1.25,20.05,22.55
133,22,1.89,20.11,23.89
134,20.69,2.14,18.55,22.83
135,18.56,2,16.56,20.56
136,18.17,1.57,16.6,19.74
137,16.29,0.42,15.87,16.71
138,16.94,0.82,16.12,17.76
139,19.39,1.36,18.03,20.75
140,17.8,0.6,17.2,18.4
141,18.06,3.09,14.97,21.15
142,17.25,1.2,16.05,18.45
145,17.85,3.93,13.92,21.78
150,19.3,,19.3,19.3
153,19.29,1.01,18.28,20.3
154,20.44,3,17.44,23.44
156,24.39,2.45,21.94,26.84
157,19.12,3.98,15.14,23.1
158,20.51,4.37,16.14,24.88
159,20.07,2.09,17.98,22.16
160,21.8,1.68,20.12,23.48
161,19.4,2.52,16.88,21.92
162,16.76,1.14,15.62,17.9
164,19.43,0.72,18.71,20.15
165,23.52,1.7,21.82,25.22
166,22.66,0.93,21.73,23.59
167,25.16,0.45,24.71,25.61
168,24.88,2.4,22.48,27.28
169,25.34,1.44,23.9,26.78
170,20.05,0.95,19.1,21
171,23.02,1.18,21.84,24.2
172,25.71,2.86,22.85,28.57
173,21.07,1.13,19.94,22.2
174,23.05,5.02,18.03,28.07
